,Unnamed: 0,person:1,person:2,person:3,person:4,person:5,person:6,bird:7,bird:8,person:9,bird:10,bird:11,bird:12,bird:13,bird:14,bird:15,bird:16,bird:45,person:66,person:119,backpack:137,person:164,bird:125,bird:97,bird:195,bird:201,bird:161,bird:207,handbag:137,kite:201,bird:52,bird:168,bird:186,bird:246,bird:250,person:251,bird:254,bird:260,bird:261,bird:262,bird:263,kite:263,bird:151,bird:272,bird:275,backpack:9,bird:190,bird:279,bird:280,bird:285,bird:289,bird:290,bird:291,bird:292,bird:298,bird:305,bird:306,bird:308,bird:316,bird:328,bird:332,kite:12,bird:342,bird:345,bird:346,bird:351,handbag:363,bird:364,bird:365,bird:367,person:370,bird:375,person:377,bird:380,bird:383,bird:384,bird:387,bird:388,bird:392,bird:393,kite:15,bird:64,bird:400,bird:409,bird:251,bird:420,bird:422,bird:423,bird:429,bird:437,bird:440,bird:443,bird:453,bird:459,bird:460,person:468,bird:469,bird:470,bird:472,bird:17,bird:26,bird:474,bird:482,bird:487,bird:489,bird:71,bird:490,bird:491,bird:492,kite:491,kite:459,bird:496,bird:72,person:73,kite:71,bird:514,bird:522,bird:524,kite:492,airplane:492,bird:537,bird:540,kite:524,bird:545,bird:554,bird:555,bird:76,bird:77,bird:563,person:566,handbag:5,kite:554,kite:537,kite:563,bird:79,person:578,bird:579,person:583,person:587,person:596,handbag:2,bird:599,person:602,bird:608,bird:609,bird:615,bird:625,bird:627,person:641,kite:627,kite:52,bird:643,kite:643,backpack:648,person:648,bird:651,person:652,kite:579,bird:656,kite:651,backpack:658,person:663,kite:665,kite:666,bird:82,person:667,bird:668,kite:669,bird:670,kite:670,bird:672,person:673,person:675,bird:676,bird:679,bird:684,bird:689,handbag:84,bird:693,bird:695,bird:702,person:703,bird:86,bird:87,bird:704,bird:707,bird:708,kite:45,person:658,kite:712,bird:713,bird:714,bird:715,bird:716,bird:717,bird:718,bird:719,bird:720,handbag:723,bird:727,bird:729,bird:730,bird:731,backpack:119,bird:733,bird:734,bird:736,bird:737,kite:727,bird:739,bird:742,bird:24,bird:88,bird:745,bird:746,bird:747,bird:749,bird:753,bird:756,bird:757,bird:766,bird:768,bird:769,bird:775,bird:776,person:778,bird:779,bird:780,bird:781,bird:783,bird:787,bird:788,bird:791,bird:794,bird:795,bird:798,bird:799,bird:802,person:803,kite:807,bird:807,bird:808,bird:810,person:811,bird:815,bird:816,bird:818,bird:820,bird:822,bird:824,kite:791,kite:828,bird:828,bird:830,bird:832,person:838,bird:845,bird:857,bird:858,kite:820,bird:29,handbag:838,bird:863,bird:870,bird:873,kite:97,kite:76,kite:877,kite:880,bird:877,bird:885,bird:892,bird:880,person:897,bird:899,kite:900,bird:900,airplane:877,person:909,bird:113,kite:917,bird:917,bird:918,bird:921,bird:922,bird:923,bird:114,surfboard:838,airplane:923,kite:923,bird:929,kite:114,kite:88,kite:29,bird:126,bird:128,kite:128,bird:129,bird:133,bird:139,bird:154,bird:160,kite:151,kite:161,bird:177,bird:180,bird:184,bird:185
0,person:1,0.0,842.0,3008.0,2192.0,1257.0,3364.0,1121.0,767.0,2349.0,2126.0,832.0,1211.0,1366.0,1298.0,2177.0,804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,person:2,842.0,0.0,2169.0,1362.0,416.0,2524.0,1492.0,845.0,1513.0,1531.0,1410.0,934.0,1217.0,759.0,1488.0,1239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,person:3,3008.0,2169.0,0.0,827.0,1752.0,357.0,3274.0,2691.0,661.0,1647.0,3388.0,2333.0,2542.0,1981.0,1341.0,3156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,person:4,2192.0,1362.0,827.0,0.0,948.0,1184.0,2469.0,1870.0,175.0,1075.0,2564.0,1540.0,1777.0,1177.0,781.0,2336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,person:5,1257.0,416.0,1752.0,948.0,0.0,2108.0,1767.0,1112.0,1097.0,1296.0,1754.0,1008.0,1305.0,698.0,1184.0,1556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,person:6,3364.0,2524.0,357.0,1184.0,2108.0,0.0,3620.0,3044.0,1018.0,1939.0,3741.0,2675.0,2876.0,2329.0,1642.0,3508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bird:7,1121.0,1492.0,3274.0,2469.0,1767.0,3620.0,0.0,657.0,2645.0,1873.0,403.0,946.0,809.0,1294.0,2076.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bird:8,767.0,845.0,2691.0,1870.0,1112.0,3044.0,657.0,0.0,2044.0,1482.0,697.0,494.0,599.0,734.0,1610.0,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,person:9,2349.0,1513.0,661.0,175.0,1097.0,1018.0,2645.0,2044.0,0.0,1207.0,2737.0,1715.0,1950.0,1353.0,903.0,2510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bird:10,2126.0,1531.0,1647.0,1075.0,1296.0,1939.0,1873.0,1482.0,1207.0,0.0,2121.0,994.0,1065.0,831.0,311.0,1876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
