,tracker_ids,tracker_class_name,bounding_boxes
0,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1855.1,      458.49,      2539.5,      2151.8], dtype=float32), array([     2862.4,      848.66,      3251.5,      1176.3], dtype=float32), array([     3507.5,      894.18,      3840.8,      1150.5], dtype=float32), array([     3227.7,      864.17,      3407.9,      1026.1], dtype=float32), array([    0.47017,      699.95,      134.31,      1311.4], dtype=float32)]"
1,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1845.1,      462.79,      2532.4,      2151.9], dtype=float32), array([     2862.5,      849.41,      3248.6,      1179.9], dtype=float32), array([     3508.5,      894.77,      3841.4,      1157.5], dtype=float32), array([     3226.7,      864.36,      3406.2,      1026.4], dtype=float32), array([    0.37301,      699.61,      125.92,      1306.1], dtype=float32)]"
2,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1833.5,      462.18,      2526.1,      2150.7], dtype=float32), array([     2862.4,      848.01,      3246.7,      1178.2], dtype=float32), array([     3509.2,      894.39,      3840.9,      1154.9], dtype=float32), array([     3226.4,      864.22,      3404.5,      1025.2], dtype=float32), array([    0.14192,      700.64,      119.07,      1302.3], dtype=float32)]"
3,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1818.9,      465.68,      2519.5,      2150.1], dtype=float32), array([     2861.8,      847.41,      3249.3,      1180.1], dtype=float32), array([       3510,      895.56,      3842.2,      1153.9], dtype=float32), array([     3225.1,      864.56,      3403.1,      1024.7], dtype=float32), array([    0.32446,      702.33,      116.84,      1306.3], dtype=float32)]"
4,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1806.6,      474.09,      2512.4,        2149], dtype=float32), array([     2861.4,      846.51,      3250.1,      1183.4], dtype=float32), array([     3510.8,      896.16,      3842.6,      1154.3], dtype=float32), array([     3223.8,       864.7,        3402,      1024.3], dtype=float32), array([    0.38892,      704.66,      116.44,      1309.6], dtype=float32)]"
5,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1797.5,      480.99,      2504.1,      2148.8], dtype=float32), array([     2860.9,      846.69,      3250.1,      1185.6], dtype=float32), array([     3512.5,      897.52,      3843.8,        1151], dtype=float32), array([     3222.9,      865.48,      3399.9,      1024.1], dtype=float32), array([    0.30538,      705.59,      117.87,      1318.9], dtype=float32)]"
6,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1787.6,      485.88,      2497.1,      2149.1], dtype=float32), array([       2861,      847.47,        3250,      1187.5], dtype=float32), array([     3513.3,      898.36,      3843.9,      1149.4], dtype=float32), array([     3220.2,      866.42,      3397.7,      1024.1], dtype=float32), array([    0.21442,      705.49,      118.48,      1320.1], dtype=float32)]"
7,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1775.2,       486.7,      2490.8,        2150], dtype=float32), array([     2860.9,      847.32,        3248,      1187.9], dtype=float32), array([     3514.4,      898.52,      3843.9,      1153.2], dtype=float32), array([     3214.7,      866.39,      3395.6,        1024], dtype=float32), array([   0.087527,      707.38,      117.11,      1318.1], dtype=float32)]"
8,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1759.2,      493.44,        2485,      2150.1], dtype=float32), array([     2860.2,      847.58,        3244,        1191], dtype=float32), array([     3515.2,      899.06,      3842.8,      1151.6], dtype=float32), array([     3210.7,      866.86,      3393.8,      1024.1], dtype=float32), array([    0.12208,      707.79,      113.98,      1307.3], dtype=float32)]"
9,"[1, 2, 3, 4, 5]","['person', 'car', 'car', 'car', 'person']","[array([     1747.5,      499.13,        2479,      2147.8], dtype=float32), array([     2859.3,      847.05,      3238.8,      1192.5], dtype=float32), array([     3515.2,      899.05,      3841.9,      1148.9], dtype=float32), array([     3204.8,      866.83,        3392,      1023.8], dtype=float32), array([  -0.056973,       704.8,      112.37,      1309.2], dtype=float32)]"
10,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1737.3,      504.18,        2473,      2146.9], dtype=float32), array([     2857.4,      847.02,      3236.4,      1193.4], dtype=float32), array([     3516.8,      898.78,      3842.6,      1145.9], dtype=float32), array([       3199,      866.98,      3389.9,      1023.6], dtype=float32), array([   -0.30899,      701.89,      108.62,      1311.2], dtype=float32), array([     2655.3,       874.4,      2819.7,      1020.2], dtype=float32)]"
11,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1726.6,      503.66,      2466.5,      2145.3], dtype=float32), array([     2856.7,      846.24,      3235.9,      1194.8], dtype=float32), array([       3517,      898.97,      3842.2,      1143.1], dtype=float32), array([     3195.7,      866.48,      3387.1,      1023.1], dtype=float32), array([   -0.19456,       700.5,      104.66,        1313], dtype=float32), array([       2658,      873.23,        2821,      1012.6], dtype=float32)]"
12,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1713.1,      505.19,      2459.7,      2144.6], dtype=float32), array([     2855.8,      846.03,      3235.2,      1194.4], dtype=float32), array([     3516.2,      898.89,      3840.9,      1143.1], dtype=float32), array([     3193.9,      866.42,      3385.2,      1022.5], dtype=float32), array([  -0.079392,      698.85,      88.539,      1322.3], dtype=float32), array([     2657.4,      872.19,      2825.4,      1008.9], dtype=float32)]"
13,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1701.4,      505.48,      2454.6,      2146.2], dtype=float32), array([     2854.9,       845.7,      3234.3,      1192.2], dtype=float32), array([     3516.9,      898.39,        3841,      1142.5], dtype=float32), array([     3193.1,       865.9,      3383.5,      1022.4], dtype=float32), array([  -0.080468,      690.53,      56.848,      1295.5], dtype=float32), array([     2655.3,      870.51,      2831.9,      1008.2], dtype=float32)]"
14,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1691.2,      501.98,      2449.5,        2149], dtype=float32), array([     2855.8,      845.35,      3234.2,      1190.2], dtype=float32), array([     3518.5,      897.42,      3842.5,      1140.6], dtype=float32), array([     3193.1,      865.38,      3384.1,      1023.6], dtype=float32), array([     0.1866,      768.06,      59.079,      1316.4], dtype=float32), array([     2650.2,      867.42,      2838.6,      1015.3], dtype=float32)]"
15,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1683.1,      498.69,      2444.2,      2148.5], dtype=float32), array([     2854.7,      845.93,      3229.3,      1192.8], dtype=float32), array([     3519.9,      897.31,      3842.5,      1141.5], dtype=float32), array([       3192,      865.25,      3384.7,        1024], dtype=float32), array([    0.29561,      719.12,       62.75,      1309.5], dtype=float32), array([     2648.1,      865.52,      2844.7,        1018], dtype=float32)]"
16,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1672.8,      493.43,      2440.1,        2149], dtype=float32), array([     2853.1,      846.14,        3230,      1191.3], dtype=float32), array([     3520.7,      897.26,      3841.6,      1144.6], dtype=float32), array([     3189.4,      865.37,      3383.9,      1024.2], dtype=float32), array([   0.091486,      706.14,      63.326,      1305.1], dtype=float32), array([       2647,      863.71,      2852.3,      1018.4], dtype=float32)]"
17,"[1, 2, 3, 4, 5, 6]","['person', 'car', 'car', 'car', 'person', 'car']","[array([     1661.4,      492.55,      2436.3,      2149.3], dtype=float32), array([     2849.8,      846.49,      3228.5,      1192.2], dtype=float32), array([     3521.4,      897.52,      3840.3,      1143.9], dtype=float32), array([     3186.8,      865.34,      3380.9,      1023.8], dtype=float32), array([   -0.32873,      703.16,       63.87,      1301.6], dtype=float32), array([     2649.7,      865.34,        2861,      1019.1], dtype=float32)]"
18,"[1, 2, 3, 4, 6]","['person', 'car', 'car', 'car', 'car']","[array([     1656.5,      490.39,      2434.1,      2150.7], dtype=float32), array([     2848.2,      847.87,      3224.3,      1189.6], dtype=float32), array([     3521.6,      898.35,      3838.9,      1140.7], dtype=float32), array([     3185.2,      866.17,      3377.8,      1024.5], dtype=float32), array([     2652.2,      865.94,      2873.2,      1036.8], dtype=float32)]"
19,"[1, 2, 3, 4, 6]","['person', 'car', 'car', 'car', 'car']","[array([     1650.7,      480.92,      2432.2,        2151], dtype=float32), array([       2847,      847.54,      3223.9,      1190.3], dtype=float32), array([     3522.5,      898.03,      3837.9,      1140.2], dtype=float32), array([     3186.4,      865.83,      3375.4,      1024.6], dtype=float32), array([     2652.3,      864.65,      2877.4,      1034.8], dtype=float32)]"
20,"[1, 2, 3, 4, 6]","['person', 'car', 'car', 'car', 'car']","[array([     1648.2,      467.22,      2426.3,        2151], dtype=float32), array([     2844.7,       847.3,      3218.6,      1190.4], dtype=float32), array([     3523.5,      898.43,      3838.1,      1137.7], dtype=float32), array([     3185.8,      865.82,      3374.1,      1024.7], dtype=float32), array([     2650.8,      862.42,      2878.6,      1037.1], dtype=float32)]"
21,"[1, 2, 3, 4, 6]","['person', 'car', 'car', 'car', 'car']","[array([     1647.3,      456.24,      2417.1,      2150.6], dtype=float32), array([     2841.9,      848.03,      3217.3,      1187.4], dtype=float32), array([     3524.4,      899.48,      3838.1,      1131.3], dtype=float32), array([     3180.6,      865.05,      3371.6,      1025.3], dtype=float32), array([     2650.9,       862.4,      2879.1,      1036.7], dtype=float32)]"
22,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1648.9,      454.33,      2409.5,      2150.2], dtype=float32), array([     2839.3,      848.22,        3215,      1186.2], dtype=float32), array([     3525.1,      900.16,      3838.5,      1138.9], dtype=float32), array([     3177.4,      865.14,      3369.5,        1026], dtype=float32), array([     2654.1,      864.16,      2878.7,      1028.3], dtype=float32), array([     3395.2,      845.26,      3597.4,      1010.6], dtype=float32)]"
23,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1649.7,      450.89,      2402.7,      2152.8], dtype=float32), array([     2837.3,      848.01,      3213.4,      1184.3], dtype=float32), array([     3526.2,      900.87,      3837.1,      1135.6], dtype=float32), array([     3175.6,      865.35,      3367.6,      1026.3], dtype=float32), array([     2658.6,         865,      2878.7,      1024.5], dtype=float32), array([       3393,      846.82,      3597.8,        1012], dtype=float32)]"
