,Unnamed: 0,person1,person2,bench3,file
0,person1,0,533.0,677,0
1,person2,533,0.0,146,0
2,bench3,677,146.0,0,0
3,person1,0,537.0,680,1
4,person2,537,0.0,145,1
5,bench3,680,145.0,0,1
6,person1,0,542.0,797,10
7,person2,542,0.0,255,10
8,bench3,797,255.0,0,10
9,person1,0,207.0,777,100
10,person2,207,0.0,581,100
11,bench3,777,581.0,0,100
12,person1,0,197.0,773,101
13,person2,197,0.0,588,101
14,bench3,773,588.0,0,101
15,person1,0,191.0,770,102
16,person2,191,0.0,593,102
17,bench3,770,593.0,0,102
18,person1,0,188.0,768,103
19,person2,188,0.0,597,103
20,bench3,768,597.0,0,103
21,person1,0,182.0,766,104
22,person2,182,0.0,602,104
23,bench3,766,602.0,0,104
24,person1,0,177.0,765,105
25,person2,177,0.0,605,105
26,bench3,765,605.0,0,105
27,person1,0,172.0,763,106
28,person2,172,0.0,609,106
29,bench3,763,609.0,0,106
30,person1,0,167.0,762,107
31,person2,167,0.0,611,107
32,bench3,762,611.0,0,107
33,person1,0,161.0,759,108
34,person2,161,0.0,613,108
35,bench3,759,613.0,0,108
36,person1,0,158.0,756,109
37,person2,158,0.0,615,109
38,bench3,756,615.0,0,109
39,person1,0,541.0,799,11
40,person2,541,0.0,259,11
41,bench3,799,259.0,0,11
42,person1,0,154.0,754,110
43,person2,154,0.0,617,110
44,bench3,754,617.0,0,110
45,person1,0,152.0,752,111
46,person2,152,0.0,618,111
47,bench3,752,618.0,0,111
48,person1,0,149.0,750,112
49,person2,149,0.0,621,112
50,bench3,750,621.0,0,112
51,person1,0,145.0,748,113
52,person2,145,0.0,623,113
53,bench3,748,623.0,0,113
54,person1,0,142.0,745,114
55,person2,142,0.0,625,114
56,bench3,745,625.0,0,114
57,person1,0,140.0,744,115
58,person2,140,0.0,627,115
59,bench3,744,627.0,0,115
60,person1,0,138.0,742,116
61,person2,138,0.0,629,116
62,bench3,742,629.0,0,116
63,person1,0,134.0,740,117
64,person2,134,0.0,633,117
65,bench3,740,633.0,0,117
66,person1,0,128.0,738,118
67,person2,128,0.0,637,118
68,bench3,738,637.0,0,118
69,person1,0,124.0,735,119
70,person2,124,0.0,640,119
71,bench3,735,640.0,0,119
72,person1,0,540.0,799,12
73,person2,540,0.0,259,12
74,bench3,799,259.0,0,12
75,person1,0,109.0,730,120
76,person2,109,0.0,644,120
77,bench3,730,644.0,0,120
78,person1,0,111.0,727,121
79,person2,111,0.0,639,121
80,bench3,727,639.0,0,121
81,person1,0,115.0,724,122
82,person2,115,0.0,635,122
83,bench3,724,635.0,0,122
84,person1,0,116.0,723,123
85,person2,116,0.0,635,123
86,bench3,723,635.0,0,123
87,person1,0,119.0,722,124
88,person2,119,0.0,633,124
89,bench3,722,633.0,0,124
90,person1,0,131.0,721,125
91,person2,131,0.0,633,125
92,bench3,721,633.0,0,125
93,person1,0,134.0,719,126
94,person2,134,0.0,638,126
95,bench3,719,638.0,0,126
96,person1,0,,717,127
97,bench3,717,,0,127
98,person1,0,,713,128
99,bench3,713,,0,128
100,person1,0,,710,129
101,bench3,710,,0,129
102,person1,0,536.0,796,13
103,person2,536,0.0,260,13
104,bench3,796,260.0,0,13
105,person1,0,,705,130
106,bench3,705,,0,130
107,person1,0,,701,131
108,bench3,701,,0,131
109,person1,0,,695,132
110,bench3,695,,0,132
111,person1,0,,690,133
112,bench3,690,,0,133
113,person1,0,,685,134
114,bench3,685,,0,134
115,person1,0,,679,135
116,bench3,679,,0,135
117,person1,0,,673,136
118,bench3,673,,0,136
119,person1,0,,668,137
120,bench3,668,,0,137
121,person1,0,,663,138
122,bench3,663,,0,138
123,person1,0,,655,139
124,bench3,655,,0,139
125,person1,0,531.0,793,14
126,person2,531,0.0,262,14
127,bench3,793,262.0,0,14
128,person1,0,,648,140
129,bench3,648,,0,140
130,person1,0,,643,141
131,bench3,643,,0,141
132,person1,0,,640,142
133,bench3,640,,0,142
134,person1,0,,639,143
135,bench3,639,,0,143
136,person1,0,,638,144
137,bench3,638,,0,144
138,person1,0,,638,145
139,bench3,638,,0,145
140,person1,0,154.0,639,146
141,bench3,639,704.0,0,146
142,person2,154,0.0,704,146
