,person:1,person:2,person:3,person:4,person:5,person:6,bird:7,bird:8,person:9,bird:10,bird:11,bird:12,bird:13,bird:14,bird:15,bird:16
person:1,0,842,3008,2192,1257,3364,1121,767,2349,2126,832,1211,1366,1298,2177,804
person:2,842,0,2169,1362,416,2524,1492,845,1513,1531,1410,934,1217,759,1488,1239
person:3,3008,2169,0,827,1752,357,3274,2691,661,1647,3388,2333,2542,1981,1341,3156
person:4,2192,1362,827,0,948,1184,2469,1870,175,1075,2564,1540,1777,1177,781,2336
person:5,1257,416,1752,948,0,2108,1767,1112,1097,1296,1754,1008,1305,698,1184,1556
person:6,3364,2524,357,1184,2108,0,3620,3044,1018,1939,3741,2675,2876,2329,1642,3508
bird:7,1121,1492,3274,2469,1767,3620,0,657,2645,1873,403,946,809,1294,2076,316
bird:8,767,845,2691,1870,1112,3044,657,0,2044,1482,697,494,599,734,1610,466
person:9,2349,1513,661,175,1097,1018,2645,2044,0,1207,2737,1715,1950,1353,903,2510
bird:10,2126,1531,1647,1075,1296,1939,1873,1482,1207,0,2121,994,1065,831,311,1876
bird:11,832,1410,3388,2564,1754,3741,403,697,2737,2121,0,1135,1092,1427,2283,245
bird:12,1211,934,2333,1540,1008,2675,946,494,1715,994,1135,0,298,370,1149,890
bird:13,1366,1217,2542,1777,1305,2876,809,599,1950,1065,1092,298,0,644,1282,857
bird:14,1298,759,1981,1177,698,2329,1294,734,1353,831,1427,370,644,0,893,1187
bird:15,2177,1488,1341,781,1184,1642,2076,1610,903,311,2283,1149,1282,893,0,2038
bird:16,804,1239,3156,2336,1556,3508,316,466,2510,1876,245,890,857,1187,2038,0
