,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:195,bird:201,bird:125
person:1,0,923,2482,1597,1346,2218,2755,3381,2607,1506,2375,991
person:2,923,0,1564,674,425,1301,1837,2465,1685,1020,1581,1046
person:3,2482,1564,0,892,1138,264,273,901,152,1567,843,2190
person:4,1597,674,892,0,251,633,1165,1794,1010,1073,1104,1479
person:5,1346,425,1138,251,0,876,1412,2039,1260,974,1240,1275
person:9,2218,1301,264,633,876,0,537,1164,401,1349,790,1943
person:66,2755,1837,273,1165,1412,537,0,628,181,1791,951,2439
person:119,3381,2465,901,1794,2039,1164,628,0,793,2329,1358,3013
handbag:137,2607,1685,152,1010,1260,401,181,793,0,1720,970,2339
bird:195,1506,1020,1567,1073,974,1349,1791,2329,1720,0,1035,730
bird:201,2375,1581,843,1104,1240,790,951,1358,970,1035,0,1762
bird:125,991,1046,2190,1479,1275,1943,2439,3013,2339,730,1762,0
