,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:45,bird:52,bird:12
person:1,0,849,2949,2135,1279,3342,2403,1483,2587,983
person:2,849,0,2103,1296,431,2495,1559,929,1804,1175
person:3,2949,2103,0,822,1672,394,548,1834,771,2851
person:4,2135,1296,822,0,868,1216,275,1078,654,2057
person:5,1279,431,1672,868,0,2064,1129,812,1411,1431
person:6,3342,2495,394,1216,2064,0,942,2209,1066,3234
person:9,2403,1559,548,275,1129,942,0,1331,599,2326
bird:45,1483,929,1834,1078,812,2209,1331,0,1237,1035
bird:52,2587,1804,771,654,1411,1066,599,1237,0,2271
bird:12,983,1175,2851,2057,1431,3234,2326,1035,2271,0
