,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:195,bird:201,bird:207,bird:168,bird:125
person:1,0,927,2485,1593,1349,2222,2768,3391,2608,1358,2296,760,900,898
person:2,927,0,1563,666,424,1301,1846,2470,1683,959,1505,1445,885,1122
person:3,2485,1563,0,903,1138,263,283,908,153,1692,853,2867,2076,2354
person:4,1593,666,903,0,249,646,1186,1811,1018,1136,1068,2053,1343,1619
person:5,1349,424,1138,249,0,876,1421,2046,1259,981,1167,1808,1120,1391
person:9,2222,1301,263,646,876,0,546,1169,399,1465,776,2609,1826,2105
person:66,2768,1846,283,1186,1421,546,0,625,193,1934,986,3139,2339,2615
person:119,3391,2470,908,1811,2046,1169,625,0,801,2484,1422,3737,2923,3195
handbag:137,2608,1683,153,1018,1259,399,193,801,0,1845,989,3008,2223,2502
bird:195,1358,959,1692,1136,981,1465,1934,2484,1845,0,1123,1344,522,747
bird:201,2296,1505,853,1068,1167,776,986,1422,989,1123,0,2454,1620,1868
bird:207,760,1445,2867,2053,1808,2609,3139,3737,3008,1344,2454,0,833,604
bird:168,900,885,2076,1343,1120,1826,2339,2923,2223,522,1620,833,0,280
bird:125,898,1122,2354,1619,1391,2105,2615,3195,2502,747,1868,604,280,0
