,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:201,bird:207,bird:168,bird:125
person:1,0,925,2475,1590,1346,2221,2766,3392,2606,2284,751,906,905
person:2,925,0,1555,665,424,1302,1847,2474,1682,1500,1462,918,1179
person:3,2475,1555,0,897,1131,254,291,918,160,868,2889,2099,2414
person:4,1590,665,897,0,247,648,1188,1815,1018,1070,2076,1376,1683
person:5,1346,424,1131,247,0,878,1423,2049,1259,1167,1831,1156,1457
person:9,2221,1302,254,648,878,0,545,1171,398,790,2638,1857,2173
person:66,2766,1847,291,1188,1423,545,0,626,204,993,3166,2363,2677
person:119,3392,2474,918,1815,2049,1171,626,0,805,1446,3772,2954,3264
handbag:137,2606,1682,160,1018,1259,398,204,805,0,1009,3037,2253,2569
bird:201,2284,1500,868,1070,1167,790,993,1446,1009,0,2476,1626,1914
bird:207,751,1462,2889,2076,1831,2638,3166,3772,3037,2476,0,851,596
bird:168,906,918,2099,1376,1156,1857,2363,2954,2253,1626,851,0,315
bird:125,905,1179,2414,1683,1457,2173,2677,3264,2569,1914,596,315,0
