,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:168,bird:195
person:1,0,922,2472,1591,1360,2224,2764,3394,2652,2245,889,1193
person:2,922,0,1555,669,441,1308,1848,2480,1731,1495,1046,1012
person:3,2472,1555,0,890,1114,248,292,924,203,954,2249,1935
person:4,1591,669,890,0,233,647,1182,1815,1062,1089,1522,1313
person:5,1360,441,1114,233,0,867,1406,2038,1291,1168,1313,1141
person:9,2224,1308,248,647,867,0,540,1171,440,868,2014,1715
person:66,2764,1848,292,1182,1406,540,0,632,161,1098,2519,2191
person:119,3394,2480,924,1815,2038,1171,632,0,764,1539,3107,2757
backpack:137,2652,1731,203,1062,1291,440,161,764,0,1126,2451,2139
bird:201,2245,1495,954,1089,1168,868,1098,1539,1126,0,1699,1306
bird:168,889,1046,2249,1522,1313,2014,2519,3107,2451,1699,0,407
bird:195,1193,1012,1935,1313,1141,1715,2191,2757,2139,1306,407,0
