,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:168,bird:246,bird:195
person:1,0,920,2473,1587,1357,2221,2760,3394,2646,2220,855,740,1136
person:2,920,0,1558,668,440,1307,1846,2481,1727,1476,1055,1268,998
person:3,2473,1558,0,893,1118,252,287,922,198,979,2291,2630,1984
person:4,1587,668,893,0,230,644,1180,1816,1059,1070,1539,1834,1322
person:5,1357,440,1118,230,0,867,1406,2041,1288,1160,1338,1618,1156
person:9,2221,1307,252,644,867,0,539,1173,437,886,2052,2386,1757
person:66,2760,1846,287,1180,1406,539,0,635,162,1127,2559,2904,2240
person:119,3394,2481,922,1816,2041,1173,635,0,769,1574,3152,3508,2813
backpack:137,2646,1727,198,1059,1288,437,162,769,0,1151,2487,2823,2183
bird:201,2220,1476,979,1070,1160,886,1127,1574,1151,0,1718,2095,1338
bird:168,855,1055,2291,1539,1338,2052,2559,3152,2487,1718,0,378,392
bird:246,740,1268,2630,1834,1618,2386,2904,3508,2823,2095,378,0,769
bird:195,1136,998,1984,1322,1156,1757,2240,2813,2183,1338,392,769,0
