,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195
person:1,0,917,2490,1571,1358,2219,2763,3394,2645,2194,1109
person:2,917,0,1578,656,443,1308,1851,2484,1729,1455,1023
person:3,2490,1578,0,922,1134,271,273,906,182,1006,2064
person:4,1571,656,922,0,213,654,1196,1829,1073,1050,1353
person:5,1358,443,1134,213,0,864,1408,2040,1287,1142,1203
person:9,2219,1308,271,654,864,0,544,1175,438,896,1818
person:66,2763,1851,273,1196,1408,544,0,633,162,1153,2308
person:119,3394,2484,906,1829,2040,1175,633,0,769,1604,2880
backpack:137,2645,1729,182,1073,1287,438,162,769,0,1169,2245
bird:201,2194,1455,1006,1050,1142,896,1153,1604,1169,0,1371
bird:195,1109,1023,2064,1353,1203,1818,2308,2880,2245,1371,0
