,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,bird:250,person:251,bird:125,bird:186
person:1,0,908,2492,1568,1351,2219,2773,3393,2628,2121,1131,1119,1203,920,1428
person:2,908,0,1588,661,445,1316,1884,2492,1721,1403,1171,735,360,1522,916
person:3,2492,1588,0,928,1143,273,358,903,168,1041,2242,1715,1302,2907,1526
person:4,1568,661,928,0,217,657,1235,1831,1060,1018,1529,982,423,2076,944
person:5,1351,445,1143,217,0,871,1443,2046,1277,1101,1374,839,245,1878,866
person:9,2219,1316,273,657,871,0,588,1175,422,913,1996,1461,1030,2644,1293
person:66,2773,1884,358,1235,1443,588,0,649,362,1052,2400,1903,1571,3110,1672
person:119,3393,2492,903,1831,2046,1175,649,0,785,1669,3048,2553,2197,3760,2319
backpack:137,2628,1721,168,1060,1277,422,362,785,0,1200,2408,1878,1449,3066,1694
bird:201,2121,1403,1041,1018,1101,913,1052,1669,1200,0,1443,1047,1046,2211,748
bird:195,1131,1171,2242,1529,1374,1996,2400,3048,2408,1443,0,549,1128,787,728
bird:250,1119,735,1715,982,839,1461,1903,2553,1878,1047,549,0,597,1207,312
person:251,1203,360,1302,423,245,1030,1571,2197,1449,1046,1128,597,0,1652,659
bird:125,920,1522,2907,2076,1878,2644,3110,3760,3066,2211,787,1207,1652,0,1470
bird:186,1428,916,1526,944,866,1293,1672,2319,1694,748,728,312,659,1470,0
