,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:261,bird:262,kite:263
person:1,0,897,2469,1570,1333,2213,2768,3390,2620,2100,1005,1228,764,2808,3289
person:2,897,0,1577,675,439,1322,1877,2500,1724,1417,1226,531,1216,1994,2454
person:3,2469,1577,0,903,1138,256,299,922,178,1111,2412,1351,2568,794,1054
person:4,1570,675,903,0,237,649,1202,1826,1049,1054,1669,593,1759,1403,1829
person:5,1333,439,1138,237,0,883,1438,2061,1286,1134,1482,456,1548,1594,2038
person:9,2213,1322,256,649,883,0,555,1178,420,986,2174,1102,2320,892,1238
person:66,2768,1877,299,1202,1438,555,0,623,192,1279,2681,1636,2849,740,856
person:119,3390,2500,922,1826,2061,1178,623,0,790,1742,3254,2239,3441,969,712
backpack:137,2620,1724,178,1049,1286,420,192,790,0,1275,2588,1522,2739,861,1037
bird:201,2100,1417,1111,1054,1134,986,1279,1742,1275,0,1616,906,1868,845,1334
bird:195,1005,1226,2412,1669,1482,2174,2681,3254,2588,1616,0,1088,319,2451,2946
person:251,1228,531,1351,593,456,1102,1636,2239,1522,906,1088,0,1217,1580,2066
bird:261,764,1216,2568,1759,1548,2320,2849,3441,2739,1868,319,1217,0,2685,3182
bird:262,2808,1994,794,1403,1594,892,740,969,861,845,2451,1580,2685,0,496
kite:263,3289,2454,1054,1829,2038,1238,856,712,1037,1334,2946,2066,3182,496,0
