,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:262,kite:263,bird:151,bird:246
person:1,0,894,2476,1570,1330,2214,2767,3392,2622,2071,984,1219,2771,3272,1974,729
person:2,894,0,1586,678,439,1325,1878,2505,1729,1396,1262,533,1958,2437,1257,1236
person:3,2476,1586,0,909,1147,262,291,918,176,1134,2488,1373,763,1026,1015,2625
person:4,1570,678,909,0,240,649,1200,1827,1051,1045,1729,610,1364,1808,874,1799
person:5,1330,439,1147,240,0,886,1439,2065,1291,1118,1533,467,1556,2019,956,1580
person:9,2214,1325,262,649,886,0,553,1179,422,999,2243,1119,857,1214,857,2370
person:66,2767,1878,291,1200,1439,553,0,627,183,1311,2755,1652,734,841,1218,2903
person:119,3392,2505,918,1827,2065,1179,627,0,790,1775,3331,2255,982,698,1724,3500
backpack:137,2622,1729,176,1051,1291,422,183,790,0,1299,2661,1541,840,1013,1187,2792
bird:201,2071,1396,1134,1045,1118,999,1311,1775,1299,0,1661,885,850,1358,171,1903
bird:195,984,1262,2488,1729,1533,2243,2755,3331,2661,1661,0,1135,2497,3013,1644,331
person:251,1219,533,1373,610,467,1119,1652,2255,1541,885,1135,0,1554,2061,765,1251
bird:262,2771,1958,763,1364,1556,857,734,982,840,850,2497,1554,0,517,854,2716
kite:263,3272,2437,1026,1808,2019,1214,841,698,1013,1358,3013,2061,517,0,1371,3234
bird:151,1974,1257,1015,874,956,857,1218,1724,1187,171,1644,765,854,1371,0,1863
bird:246,729,1236,2625,1799,1580,2370,2903,3500,2792,1903,331,1251,2716,3234,1863,0
