,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:262,bird:263,bird:272,bird:151,bird:246
person:1,0,891,2478,1570,1331,2214,2757,3391,2623,2028,1029,1204,2719,3266,2343,1964,687
person:2,891,0,1593,681,444,1330,1871,2507,1733,1369,1358,525,1907,2435,1557,1261,1236
person:3,2478,1593,0,912,1148,264,278,914,174,1165,2591,1387,713,1013,730,1043,2653
person:4,1570,681,912,0,239,650,1190,1826,1052,1041,1834,619,1309,1802,1015,893,1818
person:5,1331,444,1148,239,0,885,1427,2062,1291,1095,1633,465,1496,2009,1171,960,1593
person:9,2214,1330,264,650,885,0,543,1177,421,1023,2346,1132,801,1206,679,884,2395
person:66,2757,1871,278,1190,1427,543,0,636,171,1346,2849,1657,706,841,861,1241,2922
person:119,3391,2507,914,1826,2062,1177,636,0,787,1820,3428,2268,987,691,1308,1748,3529
backpack:137,2623,1733,174,1052,1291,421,171,787,0,1332,2762,1553,798,1002,878,1213,2817
bird:201,2028,1369,1165,1041,1095,1023,1346,1820,1332,0,1698,863,869,1406,512,153,1898
bird:195,1029,1358,2591,1834,1633,2346,2849,3428,2762,1698,0,1228,2551,3100,2167,1716,388
person:251,1204,525,1387,619,465,1132,1657,2268,1553,863,1228,0,1519,2070,1140,774,1265
bird:262,2719,1907,713,1309,1496,801,706,987,798,869,2551,1519,0,556,389,835,2714
bird:263,3266,2435,1013,1802,2009,1206,841,691,1002,1406,3100,2070,556,0,945,1387,3269
bird:272,2343,1557,730,1015,1171,679,861,1308,878,512,2167,1140,389,945,0,452,2325
bird:151,1964,1261,1043,893,960,884,1241,1748,1213,153,1716,774,835,1387,452,0,1886
bird:246,687,1236,2653,1818,1593,2395,2922,3529,2817,1898,388,1265,2714,3269,2325,1886,0
