,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:262,bird:263,bird:272,bird:151,bird:246,bird:275
person:1,0,884,2472,1572,1330,2217,2757,3393,2624,1998,1086,1196,2682,3211,2283,1952,702,896
person:2,884,0,1594,690,450,1340,1878,2516,1741,1354,1453,528,1878,2386,1507,1264,1280,769
person:3,2472,1594,0,903,1144,255,284,923,180,1189,2687,1392,707,972,748,1070,2705,1958
person:4,1572,690,903,0,242,651,1188,1826,1051,1033,1936,626,1273,1744,966,901,1872,1184
person:5,1330,450,1144,242,0,890,1429,2066,1294,1084,1734,471,1463,1955,1120,966,1645,987
person:9,2217,1340,255,651,890,0,539,1176,419,1046,2451,1146,781,1152,677,915,2456,1715
person:66,2757,1878,284,1188,1429,539,0,639,168,1379,2950,1668,717,806,899,1273,2981,2229
person:119,3393,2516,923,1826,2066,1176,639,0,788,1857,3528,2281,1019,697,1363,1779,3590,2829
backpack:137,2624,1741,180,1051,1294,419,168,788,0,1361,2865,1565,798,960,904,1244,2876,2133
bird:201,1998,1354,1189,1033,1084,1046,1379,1857,1361,0,1748,844,869,1392,495,140,1920,1175
bird:195,1086,1453,2687,1936,1734,2451,2950,3528,2865,1748,0,1321,2604,3138,2199,1782,429,752
person:251,1196,528,1392,626,471,1146,1668,2281,1565,844,1321,0,1490,2024,1087,772,1312,573
bird:262,2682,1878,707,1273,1463,781,717,1019,798,869,2604,1490,0,540,413,822,2733,1967
bird:263,3211,2386,972,1744,1955,1152,806,697,960,1392,3138,2024,540,0,953,1358,3274,2508
bird:272,2283,1507,748,966,1120,677,899,1363,904,495,2199,1087,413,953,0,420,2321,1554
bird:151,1952,1264,1070,901,966,915,1273,1779,1244,140,1782,772,822,1358,420,0,1923,1164
bird:246,702,1280,2705,1872,1645,2456,2981,3590,2876,1920,429,1312,2733,3274,2321,1923,0,768
bird:275,896,769,1958,1184,987,1715,2229,2829,2133,1175,752,573,1967,2508,1554,1164,768,0
