,person:1,person:2,person:3,person:4,person:5,backpack:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:151,bird:246,bird:190
person:1,0,884,2476,1574,1335,2220,2771,3395,2623,2018,1117,1183,1920,732,1366
person:2,884,0,1597,692,456,1343,1900,2518,1741,1381,1525,518,1244,1338,739
person:3,2476,1597,0,905,1141,256,325,921,175,1213,2776,1406,1107,2771,1352
person:4,1574,692,905,0,239,652,1213,1827,1049,1068,2023,636,908,1938,711
person:5,1335,456,1141,239,0,886,1444,2062,1287,1111,1818,472,954,1711,611
backpack:9,2220,1343,256,652,886,0,563,1175,416,1071,2538,1158,944,2520,1118
person:66,2771,1900,325,1213,1444,563,0,631,284,1307,2995,1662,1235,3023,1577
person:119,3395,2518,921,1827,2062,1175,631,0,791,1868,3615,2294,1822,3654,2204
backpack:137,2623,1741,175,1049,1287,416,284,791,0,1380,2949,1574,1279,2937,1526
bird:201,2018,1381,1213,1068,1111,1071,1307,1868,1380,0,1834,881,160,1986,666
bird:195,1117,1525,2776,2023,1818,2538,2995,3615,2949,1834,0,1397,1825,434,1424
person:251,1183,518,1406,636,472,1158,1662,2294,1574,881,1397,0,758,1364,222
bird:151,1920,1244,1107,908,954,944,1235,1822,1279,160,1825,758,0,1943,554
bird:246,732,1338,2771,1938,1711,2520,3023,3654,2937,1986,434,1364,1943,0,1457
bird:190,1366,739,1352,711,611,1118,1577,2204,1526,666,1424,222,554,1457,0
