,person:1,person:2,person:3,person:4,person:5,backpack:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:151,bird:246,bird:279,bird:280,bird:190
person:1,0,877,2468,1574,1331,2223,2779,3394,2622,2032,1108,1167,1873,758,1091,2662,1342
person:2,877,0,1597,699,458,1352,1920,2524,1746,1411,1562,517,1218,1385,849,1878,740
person:3,2468,1597,0,898,1139,246,365,927,181,1236,2836,1416,1146,2819,1849,762,1381
person:4,1574,699,898,0,244,655,1229,1826,1047,1100,2079,649,907,1992,1146,1282,738
person:5,1331,458,1139,244,0,894,1463,2066,1291,1143,1868,481,942,1761,974,1462,630
backpack:9,2223,1352,246,655,894,0,580,1172,414,1099,2605,1176,980,2578,1621,812,1154
person:66,2779,1920,365,1229,1463,580,0,635,339,1294,3052,1677,1260,3073,2065,595,1602
person:119,3394,2524,927,1826,2066,1172,635,0,791,1884,3686,2310,1875,3708,2700,1086,2238
backpack:137,2622,1746,181,1047,1291,414,339,791,0,1406,3015,1590,1324,2992,2029,860,1560
bird:201,2032,1411,1236,1100,1143,1099,1294,1884,1406,0,1909,913,200,2042,1011,831,702
bird:195,1108,1562,2836,2079,1868,2605,3052,3686,3015,1909,0,1442,1844,402,988,2719,1456
person:251,1167,517,1416,649,481,1176,1677,2310,1590,913,1442,0,731,1403,498,1497,223
bird:151,1873,1218,1146,907,942,980,1260,1875,1324,200,1844,731,0,1941,898,876,531
bird:246,758,1385,2819,1992,1761,2578,3073,3708,2992,2042,402,1403,1941,0,1042,2811,1478
bird:279,1091,849,1849,1146,974,1621,2065,2700,2029,1011,988,498,898,1042,0,1769,468
bird:280,2662,1878,762,1282,1462,812,595,1086,860,831,2719,1497,876,2811,1769,0,1351
bird:190,1342,740,1381,738,630,1154,1602,2238,1560,702,1456,223,531,1478,468,1351,0
