,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:151,bird:280,bird:285,bird:272
person:1,0,868,2464,1575,1331,2214,2785,3392,2634,1992,1057,1093,1850,2579,687,2156
person:2,868,0,1602,709,467,1354,1927,2533,1768,1410,1602,284,1221,1808,740,1420
person:3,2464,1602,0,894,1135,250,329,930,194,1316,2948,1378,1195,751,2088,850
person:4,1575,709,894,0,244,648,1221,1825,1058,1147,2173,513,944,1221,1282,929
person:5,1331,467,1135,244,0,886,1460,2065,1302,1170,1951,280,965,1392,1058,1049
person:9,2214,1354,250,648,886,0,573,1178,432,1172,2709,1127,1025,778,1842,738
person:66,2785,1927,329,1221,1460,573,0,607,234,1473,3227,1695,1389,743,2383,997
person:119,3392,2533,930,1825,2065,1178,607,0,780,1968,3812,2302,1922,1143,2981,1510
backpack:137,2634,1768,194,1058,1302,432,234,780,0,1496,3139,1554,1383,865,2275,1024
bird:201,1992,1410,1316,1147,1170,1172,1473,1968,1496,0,1991,1141,205,840,1353,476
bird:195,1057,1602,2948,2173,1951,2709,3227,3812,3139,1991,0,1672,1946,2784,892,2350
person:251,1093,284,1378,513,280,1127,1695,2302,1554,1141,1672,0,947,1528,779,1137
bird:151,1850,1221,1195,944,965,1025,1389,1922,1383,205,1946,947,0,838,1239,413
bird:280,2579,1808,751,1221,1392,778,743,1143,865,840,2784,1528,838,0,2036,439
bird:285,687,740,2088,1282,1058,1842,2383,2981,2275,1353,892,779,1239,2036,0,1598
bird:272,2156,1420,850,929,1049,738,997,1510,1024,476,2350,1137,413,439,1598,0
