,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,bird:280,bird:285,bird:272
person:1,0,867,2466,1587,1324,2212,2773,3393,2635,1951,1081,2518,699,2104
person:2,867,0,1605,721,460,1353,1913,2534,1770,1382,256,1747,786,1378
person:3,2466,1605,0,887,1144,254,308,929,193,1346,1387,725,2127,888
person:4,1587,721,887,0,264,638,1195,1816,1049,1159,527,1166,1343,919
person:5,1324,460,1144,264,0,892,1452,2073,1311,1160,267,1339,1099,1024
person:9,2212,1353,254,638,892,0,560,1181,436,1191,1133,733,1878,758
person:66,2773,1913,308,1195,1452,560,0,620,191,1531,1693,778,2416,1066
person:119,3393,2534,929,1816,2073,1181,620,0,778,2011,2312,1173,3016,1567
backpack:137,2635,1770,193,1049,1311,436,191,778,0,1528,1561,850,2314,1065
bird:201,1951,1382,1346,1159,1160,1191,1531,2011,1528,0,1151,845,1319,465
person:251,1081,256,1387,527,267,1133,1693,2312,1561,1151,0,1491,837,1122
bird:280,2518,1747,725,1166,1339,733,778,1173,850,845,1491,0,2003,442
bird:285,699,786,2127,1343,1099,1878,2416,3016,2314,1319,837,2003,0,1565
bird:272,2104,1378,888,919,1024,758,1066,1567,1065,465,1122,442,1565,0
