,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,bird:280,bird:285,bird:272,bird:289
person:1,0,866,2469,1581,1321,2209,2763,3394,2641,1908,1068,2483,707,2028,1051
person:2,866,0,1609,715,458,1351,1903,2536,1777,1347,239,1714,831,1309,1031
person:3,2469,1609,0,896,1150,260,294,927,196,1364,1402,727,2170,917,2121
person:4,1581,715,896,0,261,642,1190,1824,1062,1145,529,1143,1382,876,1433
person:5,1321,458,1150,261,0,892,1445,2078,1320,1139,271,1313,1143,968,1229
person:9,2209,1351,260,642,892,0,553,1185,445,1200,1142,723,1916,767,1881
person:66,2763,1903,294,1190,1445,553,0,633,165,1561,1696,807,2451,1117,2386
person:119,3394,2536,927,1824,2078,1185,633,0,773,2044,2327,1205,3056,1628,2962
backpack:137,2641,1777,196,1062,1320,445,165,773,0,1550,1578,860,2361,1103,2317
bird:201,1908,1347,1364,1145,1139,1200,1561,2044,1550,0,1137,846,1294,447,1057
person:251,1068,239,1402,529,271,1142,1696,2327,1578,1137,0,1475,881,1071,1003
bird:280,2483,1714,727,1143,1313,723,807,1205,860,846,1475,0,1997,478,1836
bird:285,707,831,2170,1382,1143,1916,2451,3056,2361,1294,881,1997,0,1520,345
bird:272,2028,1309,917,876,968,767,1117,1628,1103,447,1071,478,1520,0,1361
bird:289,1051,1031,2121,1433,1229,1881,2386,2962,2317,1057,1003,1836,345,1361,0
