,person:1,person:2,person:3,person:5,backpack:9,person:66,person:119,backpack:137,bird:201,person:251,bird:285,bird:272,bird:289,bird:290,bird:291,bird:292
person:1,0,872,2472,1319,2209,2763,3396,2651,1905,1055,683,1971,1011,1310,1918,3049
person:2,872,0,1606,450,1345,1897,2532,1781,1354,254,871,1248,1031,943,1312,2244
person:3,2472,1606,0,1155,263,291,925,203,1394,1424,2227,935,2159,1703,1258,872
person:5,1319,450,1155,0,894,1446,2081,1331,1159,307,1190,920,1246,966,1078,1820
backpack:9,2209,1345,263,894,0,554,1187,453,1231,1160,1971,772,1916,1473,1096,1034
person:66,2763,1897,291,1446,554,0,635,154,1594,1714,2508,1149,2427,1959,1461,745
person:119,3396,2532,925,2081,1187,635,0,765,2073,2344,3112,1670,3005,2521,1949,780
backpack:137,2651,1781,203,1331,453,154,765,0,1586,1609,2424,1130,2361,1906,1450,879
bird:201,1905,1354,1394,1159,1231,1594,2073,1586,0,1109,1335,460,1094,620,135,1427
person:251,1055,254,1424,307,1160,1714,2344,1609,1109,0,883,995,960,760,1061,2012
bird:285,683,871,2227,1190,1971,2508,3112,2424,1335,883,0,1520,328,715,1380,2637
bird:272,1971,1248,935,920,772,1149,1670,1130,460,995,1520,0,1357,862,325,1117
bird:289,1011,1031,2159,1246,1916,2427,3005,2361,1094,960,328,1357,0,498,1163,2467
bird:290,1310,943,1703,966,1473,1959,2521,1906,620,760,715,862,498,0,672,1969
bird:291,1918,1312,1258,1078,1096,1461,1949,1450,135,1061,1380,325,1163,672,0,1323
bird:292,3049,2244,872,1820,1034,745,780,879,1427,2012,2637,1117,2467,1969,1323,0
