,person:1,person:2,person:3,person:5,backpack:9,person:66,person:119,backpack:137,bird:201,person:251,bird:285,bird:291,bird:292,person:4
person:1,0,875,2468,1317,2203,2760,3395,2654,1928,1046,640,1882,3064,1575
person:2,875,0,1598,444,1335,1890,2527,1781,1381,232,899,1286,2258,702
person:3,2468,1598,0,1154,265,292,929,210,1416,1426,2279,1293,904,897
person:5,1317,444,1154,0,890,1446,2083,1337,1195,304,1232,1073,1843,258
backpack:9,2203,1335,265,890,0,557,1192,463,1256,1161,2020,1124,1064,636
person:66,2760,1890,292,1446,557,0,638,149,1612,1717,2561,1499,776,1189
person:119,3395,2527,929,2083,1192,638,0,761,2087,2350,3171,1995,801,1827
backpack:137,2654,1781,210,1337,463,149,761,0,1612,1618,2483,1492,908,1079
bird:201,1928,1381,1416,1195,1256,1612,2087,1612,0,1160,1415,137,1433,1182
person:251,1046,232,1426,304,1161,1717,2350,1618,1160,0,929,1061,2042,551
bird:285,640,899,2279,1232,2020,2561,3171,2483,1415,929,0,1403,2711,1466
bird:291,1882,1286,1293,1073,1124,1499,1995,1492,137,1061,1403,0,1375,1049
bird:292,3064,2258,904,1843,1064,776,801,908,1433,2042,2711,1375,0,1624
person:4,1575,702,897,258,636,1189,1827,1079,1182,551,1466,1049,1624,0
