,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,bird:291,person:4,bird:298
person:1,0,868,2470,1317,2204,2758,3397,2654,1919,1079,1804,1574,2399
person:2,868,0,1607,451,1343,1896,2536,1787,1411,464,1217,708,1654
person:3,2470,1607,0,1155,267,288,928,208,1499,1494,1303,899,834
person:5,1317,451,1155,0,891,1444,2084,1336,1244,512,1012,256,1282
person:9,2204,1343,267,891,0,555,1193,465,1328,1230,1112,637,786
person:66,2758,1896,288,1444,555,0,641,150,1692,1774,1518,1188,945
person:119,3397,2536,928,2084,1193,641,0,763,2167,2394,2033,1828,1354
backpack:137,2654,1787,208,1336,465,150,763,0,1695,1696,1505,1080,990
bird:201,1919,1411,1499,1244,1328,1692,2167,1695,0,954,242,1232,815
person:251,1079,464,1494,512,1230,1774,2394,1696,954,0,777,696,1320
bird:291,1804,1217,1303,1012,1112,1518,2033,1505,242,777,0,990,718
person:4,1574,708,899,256,637,1188,1828,1080,1232,696,990,0,1111
bird:298,2399,1654,834,1282,786,945,1354,990,815,1320,718,1111,0
