,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298
person:1,0,870,2474,1317,2201,2753,3398,2653,1877,1066,1574,2351
person:2,870,0,1609,449,1338,1888,2535,1785,1407,484,706,1602
person:3,2474,1609,0,1160,274,279,925,203,1588,1530,904,821
person:5,1317,449,1160,0,889,1438,2085,1336,1271,550,256,1233
person:9,2201,1338,274,889,0,552,1196,467,1405,1260,635,757
person:66,2753,1888,279,1438,552,0,647,148,1777,1800,1182,940
person:119,3398,2535,925,2085,1196,647,0,765,2260,2423,1829,1374
backpack:137,2653,1785,203,1336,467,148,765,0,1781,1728,1079,982
bird:201,1877,1407,1588,1271,1405,1777,2260,1781,0,932,1278,886
person:251,1066,484,1530,550,1260,1800,2423,1728,932,0,735,1286
person:4,1574,706,904,256,635,1182,1829,1079,1278,735,0,1065
bird:298,2351,1602,821,1233,757,940,1374,982,886,1286,1065,0
