,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298,bird:305,bird:306,bird:308,bird:280,bird:272
person:1,0,870,2475,1317,2200,2757,3397,2651,1831,1055,1571,2357,2914,3435,1857,2225,1733
person:2,870,0,1610,450,1337,1892,2533,1782,1373,476,703,1610,2114,2637,1302,1446,1059
person:3,2475,1610,0,1160,276,281,923,200,1613,1541,908,840,807,1232,1394,695,1133
person:5,1317,450,1160,0,887,1442,2083,1333,1255,555,253,1245,1699,2218,1118,1061,807
person:9,2200,1337,276,887,0,557,1196,466,1421,1269,637,774,938,1418,1206,587,914
person:66,2757,1892,281,1442,557,0,642,153,1810,1813,1190,958,723,1053,1591,861,1362
person:119,3397,2533,923,2083,1196,642,0,767,2297,2432,1831,1383,871,831,2088,1365,1916
backpack:137,2651,1782,200,1333,466,153,767,0,1806,1735,1080,999,848,1204,1587,874,1333
bird:201,1831,1373,1613,1255,1421,1810,2297,1806,0,905,1274,917,1505,1948,219,951,529
person:251,1055,476,1541,555,1269,1813,2432,1735,905,0,741,1302,1870,2389,858,1178,680
person:4,1571,703,908,253,637,1190,1831,1080,1274,741,0,1083,1484,1997,1104,885,770
bird:298,2357,1610,840,1245,774,958,1383,999,917,1302,1083,0,607,1102,715,205,639
bird:305,2914,2114,807,1699,938,723,871,848,1505,1870,1484,607,0,523,1315,691,1236
bird:306,3435,2637,1232,2218,1418,1053,831,1204,1948,2389,1997,1102,523,0,1778,1210,1741
bird:308,1857,1302,1394,1118,1206,1591,2088,1587,219,858,1104,715,1315,1778,0,734,337
bird:280,2225,1446,695,1061,587,861,1365,874,951,1178,885,205,691,1210,734,0,562
bird:272,1733,1059,1133,807,914,1362,1916,1333,529,680,770,639,1236,1741,337,562,0
