,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298,bird:306,bird:308,bird:280
person:1,0,867,2468,1318,2193,2757,3395,2644,1783,1038,1582,2347,3401,1825,2198
person:2,867,0,1606,453,1332,1895,2535,1778,1335,471,716,1608,2605,1290,1421
person:3,2468,1606,0,1153,275,289,929,200,1617,1551,890,860,1211,1431,692
person:5,1318,453,1153,0,880,1442,2082,1325,1227,565,263,1245,2184,1122,1033
person:9,2193,1332,275,880,0,564,1202,465,1423,1280,619,796,1397,1242,580
person:66,2757,1895,289,1442,564,0,640,158,1824,1830,1179,981,1032,1635,869
person:119,3395,2535,929,2082,1202,640,0,773,2316,2447,1820,1402,826,2132,1378
backpack:137,2644,1778,200,1325,465,158,773,0,1811,1745,1062,1018,1185,1623,872
bird:201,1783,1335,1617,1227,1423,1824,2316,1811,0,873,1256,921,1949,188,956
person:251,1038,471,1551,565,1280,1830,2447,1745,873,0,762,1309,2371,850,1169
person:4,1582,716,890,263,619,1179,1820,1062,1256,762,0,1081,1955,1119,852
bird:298,2347,1608,860,1245,796,981,1402,1018,921,1309,1081,0,1082,742,237
bird:306,3401,2605,1211,2184,1397,1032,826,1185,1949,2371,1955,1082,0,1791,1203
bird:308,1825,1290,1431,1122,1242,1635,2132,1623,188,850,1119,742,1791,0,768
bird:280,2198,1421,692,1033,580,869,1378,872,956,1169,852,237,1203,768,0
