,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:4,bird:298,bird:308,bird:332
person:1,0,846,2460,1313,2190,2760,3383,2646,1499,1576,2400,1616,1613
person:2,846,0,1614,466,1345,1914,2539,1799,1156,730,1687,1131,938
person:3,2460,1614,0,1150,270,299,925,208,1833,889,1037,1587,1198
person:5,1313,466,1150,0,883,1450,2075,1333,1214,263,1372,1089,749
person:9,2190,1345,270,883,0,569,1193,469,1611,624,976,1376,971
person:66,2760,1914,299,1450,569,0,626,156,2074,1188,1146,1821,1452
person:119,3383,2539,925,2075,1193,626,0,759,2592,1814,1511,2334,2004
backpack:137,2646,1799,208,1333,469,156,759,0,2038,1070,1190,1791,1406
bird:201,1499,1156,1833,1214,1611,2074,2592,2038,0,1319,1183,259,640
person:4,1576,730,889,263,624,1188,1814,1070,1319,0,1236,1149,755
bird:298,2400,1687,1037,1372,976,1146,1511,1190,1183,1236,0,934,786
bird:308,1616,1131,1587,1089,1376,1821,2334,1791,259,1149,934,0,416
bird:332,1613,938,1198,749,971,1452,2004,1406,640,755,786,416,0
