,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:4,bird:298,bird:342,bird:306,bird:308
person:1,0,854,2472,1330,2193,2768,3406,2662,1402,1575,2388,2607,3167,1416
person:2,854,0,1617,476,1339,1913,2552,1807,1187,721,1674,1812,2362,961
person:3,2472,1617,0,1144,279,296,936,221,2058,901,1099,749,1028,1667
person:5,1330,476,1144,0,867,1440,2080,1331,1345,245,1377,1420,1948,1008
person:9,2193,1339,279,867,0,575,1213,483,1828,624,1040,798,1200,1436
person:66,2768,1913,296,1440,575,0,640,159,2308,1196,1220,797,896,1921
person:119,3406,2552,936,2080,1213,640,0,767,2852,1837,1601,1139,864,2478
backpack:137,2662,1807,221,1331,483,159,767,0,2279,1086,1275,882,1044,1888
bird:201,1402,1187,2058,1345,1828,2308,2852,2279,0,1474,1373,1770,2296,392
person:4,1575,721,901,245,624,1196,1837,1086,1474,0,1259,1235,1742,1106
bird:298,2388,1674,1099,1377,1040,1220,1601,1275,1373,1259,0,462,927,1074
bird:342,2607,1812,749,1420,798,797,1139,882,1770,1235,462,0,563,1427
bird:306,3167,2362,1028,1948,1200,896,864,1044,2296,1742,927,563,0,1973
bird:308,1416,961,1667,1008,1436,1921,2478,1888,392,1106,1074,1427,1973,0
