,person:1,person:2,person:3,person:5,person:9,person:66,person:119,handbag:137,bird:201,person:4,bird:345,bird:346,bird:308
person:1,0,854,2478,1329,2196,2766,3414,2656,1354,1576,1892,1510,1397
person:2,854,0,1623,475,1342,1912,2560,1802,1172,722,1225,881,978
person:3,2478,1623,0,1150,281,288,937,212,2101,906,1220,1370,1732
person:5,1329,475,1150,0,870,1439,2088,1326,1349,246,1017,788,1047
person:9,2196,1342,281,870,0,569,1218,473,1868,626,1047,1139,1501
person:66,2766,1912,288,1439,569,0,650,163,2348,1193,1429,1621,1980
person:119,3414,2560,937,2088,1218,650,0,781,2906,1843,1945,2199,2545
handbag:137,2656,1802,212,1326,473,163,781,0,2313,1080,1427,1582,1944
bird:201,1354,1172,2101,1349,1868,2348,2906,2313,0,1488,973,731,368
person:4,1576,722,906,246,626,1193,1843,1080,1488,0,979,841,1154
bird:345,1892,1225,1220,1017,1047,1429,1945,1427,973,979,0,382,635
bird:346,1510,881,1370,788,1139,1621,2199,1582,731,841,382,0,362
bird:308,1397,978,1732,1047,1501,1980,2545,1944,368,1154,635,362,0
