,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:345,bird:346,bird:298
person:1,0,848,2484,1328,2194,2760,3415,2649,1574,1848,1462,2363
person:2,848,0,1635,480,1345,1911,2567,1801,726,1193,849,1670
person:3,2484,1635,0,1158,290,275,932,200,914,1269,1421,1190
person:5,1328,480,1158,0,868,1433,2090,1320,245,1006,786,1393
person:9,2194,1345,290,868,0,565,1221,469,626,1081,1177,1117
person:66,2760,1911,275,1433,565,0,657,165,1189,1472,1663,1308
person:119,3415,2567,932,2090,1221,657,0,788,1847,2002,2252,1704
backpack:137,2649,1801,200,1320,469,165,788,0,1075,1467,1622,1361
person:4,1574,726,914,245,626,1189,1847,1075,0,987,860,1295
bird:345,1848,1193,1269,1006,1081,1472,2002,1467,987,0,385,517
bird:346,1462,849,1421,786,1177,1663,2252,1622,860,385,0,902
bird:298,2363,1670,1190,1393,1117,1308,1704,1361,1295,517,902,0
