,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:298,bird:279
person:1,0,846,2444,1320,2188,2738,3418,2649,1581,2260,1071
person:2,846,0,1599,473,1343,1893,2574,1802,735,1616,850
person:3,2444,1599,0,1125,255,294,975,238,878,1226,1901
person:5,1320,473,1125,0,870,1420,2101,1328,270,1338,1038
person:9,2188,1343,255,870,0,550,1230,475,627,1149,1672
person:66,2738,1893,294,1420,550,0,680,166,1171,1360,2168
person:119,3418,2574,975,2101,1230,680,0,792,1851,1815,2803
backpack:137,2649,1802,238,1328,475,166,792,0,1070,1429,2138
person:4,1581,735,878,270,627,1171,1851,1070,0,1319,1267
bird:298,2260,1616,1226,1338,1149,1360,1815,1429,1319,0,1285
bird:279,1071,850,1901,1038,1672,2168,2803,2138,1267,1285,0
