,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:298,handbag:363,bird:364,bird:365,bird:367,bird:291
person:1,0,843,2443,1318,2198,2738,3395,2624,1575,2210,899,1849,1710,2437,1329
person:2,843,0,1604,477,1359,1899,2557,1781,731,1603,151,1219,1221,1705,936
person:3,2443,1604,0,1127,244,294,952,218,885,1273,1549,1172,1503,841,1659
person:5,1318,477,1127,0,882,1421,2079,1306,267,1323,438,956,1087,1310,947
person:9,2198,1359,244,882,0,539,1197,440,644,1187,1304,1021,1338,834,1455
person:66,2738,1899,294,1421,539,0,658,178,1178,1419,1843,1386,1723,933,1914
person:119,3395,2557,952,2079,1197,658,0,793,1835,1863,2498,1930,2265,1350,2507
backpack:137,2624,1781,218,1306,440,178,793,0,1052,1468,1736,1387,1719,1010,1877
person:4,1575,731,885,267,644,1178,1835,1052,0,1324,705,995,1197,1207,1133
bird:298,2210,1603,1273,1323,1187,1419,1863,1468,1324,0,1461,384,542,513,918
handbag:363,899,151,1549,438,1304,1843,2498,1736,705,1461,0,1077,1070,1587,788
bird:364,1849,1219,1172,956,1021,1386,1930,1387,995,384,1077,0,338,653,620
bird:365,1710,1221,1503,1087,1338,1723,2265,1719,1197,542,1070,338,0,958,386
bird:367,2437,1705,841,1310,834,933,1350,1010,1207,513,1587,653,958,0,1273
bird:291,1329,936,1659,947,1455,1914,2507,1877,1133,918,788,620,386,1273,0
