,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,bird:367,person:370,bird:290,bird:316,bird:272
person:1,0,842,2437,1316,2196,2734,3396,2630,1568,2193,899,1670,2378,554,1290,1760,963
person:2,842,0,1600,477,1359,1896,2559,1788,726,1607,154,1209,1655,288,926,1141,852
person:3,2437,1600,0,1122,241,296,959,227,886,1320,1542,1544,853,1883,1689,1195,1979
person:5,1316,477,1122,0,881,1419,2081,1313,263,1338,435,1093,1265,761,954,893,1066
person:9,2196,1359,241,881,0,537,1200,448,648,1232,1301,1377,829,1642,1485,1032,1759
person:66,2734,1896,296,1419,537,0,663,168,1180,1473,1838,1770,965,2179,1948,1423,2254
person:119,3396,2559,959,2081,1200,663,0,787,1842,1919,2499,2320,1402,2842,2548,1987,2877
backpack:137,2630,1788,227,1313,448,168,787,0,1064,1521,1741,1769,1032,2075,1915,1419,2202
person:4,1568,726,886,263,648,1180,1842,1064,0,1350,698,1213,1174,1015,1145,951,1305
bird:298,2193,1607,1320,1338,1232,1473,1919,1521,1350,0,1460,562,520,1766,934,466,1315
handbag:363,899,154,1542,435,1301,1838,2499,1741,698,1460,0,1054,1532,355,776,994,736
bird:365,1670,1209,1544,1093,1377,1770,2320,1769,1213,562,1054,0,953,1303,383,349,757
bird:367,2378,1655,853,1265,829,965,1402,1032,1174,520,1532,953,0,1878,1254,668,1626
person:370,554,288,1883,761,1642,2179,2842,2075,1015,1766,355,1303,1878,0,963,1307,772
bird:290,1290,926,1689,954,1485,1948,2548,1915,1145,934,776,383,1254,963,0,586,382
bird:316,1760,1141,1195,893,1032,1423,1987,1419,951,466,994,349,668,1307,586,0,958
bird:272,963,852,1979,1066,1759,2254,2877,2202,1305,1315,736,757,1626,772,382,958,0
