,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,bird:316,bird:272
person:1,0,840,2455,1313,2200,2726,3389,2622,1562,2174,899,1607,556,1739,913
person:2,840,0,1619,476,1365,1891,2554,1782,722,1612,166,1164,286,1136,853
person:3,2455,1619,0,1143,254,271,935,204,910,1388,1561,1581,1898,1240,2041
person:5,1313,476,1143,0,889,1415,2078,1308,261,1359,436,1066,756,900,1089
person:9,2200,1365,254,889,0,526,1189,436,660,1285,1307,1394,1644,1062,1805
person:66,2726,1891,271,1415,526,0,663,165,1179,1532,1832,1795,2170,1452,2295
person:119,3389,2554,935,2078,1189,663,0,787,1842,1980,2493,2355,2833,2016,2921
backpack:137,2622,1782,204,1308,436,165,787,0,1063,1575,1735,1785,2065,1443,2238
person:4,1562,722,910,261,660,1179,1842,1063,0,1386,697,1201,1007,969,1332
bird:298,2174,1612,1388,1359,1285,1532,1980,1575,1386,0,1453,589,1755,477,1342
handbag:363,899,166,1561,436,1307,1832,2493,1735,697,1453,0,998,353,978,734
bird:365,1607,1164,1581,1066,1394,1795,2355,1785,1201,589,998,0,1244,343,752
person:370,556,286,1898,756,1644,2170,2833,2065,1007,1755,353,1244,0,1290,749
bird:316,1739,1136,1240,900,1062,1452,2016,1443,969,477,978,343,1290,0,986
bird:272,913,853,2041,1089,1805,2295,2921,2238,1332,1342,734,752,749,986,0
