,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,bird:375,person:377
person:1,0,840,2442,1318,2196,2721,3392,2606,1559,2142,901,1550,559,1172,3517
person:2,840,0,1606,480,1361,1885,2556,1767,718,1601,173,1122,284,838,2680
person:3,2442,1606,0,1125,245,279,950,203,900,1432,1547,1596,1883,1729,1076
person:5,1318,480,1125,0,880,1404,2076,1289,254,1361,441,1044,758,914,2200
person:9,2196,1361,245,880,0,524,1195,425,659,1328,1303,1411,1638,1512,1321
person:66,2721,1885,279,1404,524,0,671,174,1177,1582,1826,1820,2162,1981,797
person:119,3392,2556,950,2076,1195,671,0,805,1847,2043,2495,2395,2833,2603,149
backpack:137,2606,1767,203,1289,425,174,805,0,1051,1621,1720,1799,2047,1929,917
person:4,1559,718,900,254,659,1177,1847,1051,0,1401,695,1188,1001,1120,1967
bird:298,2142,1601,1432,1361,1328,1582,2043,1621,1401,0,1434,606,1732,980,2192
handbag:363,901,173,1547,441,1303,1826,2495,1720,695,1434,0,949,354,673,2623
bird:365,1550,1122,1596,1044,1411,1820,2395,1799,1188,606,949,0,1190,378,2543
person:370,559,284,1883,758,1638,2162,2833,2047,1001,1732,354,1190,0,847,2958
bird:375,1172,838,1729,914,1512,1981,2603,1929,1120,980,673,378,847,0,2746
person:377,3517,2680,1076,2200,1321,797,149,917,1967,2192,2623,2543,2958,2746,0
