,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,bird:375,person:377,bird:380,bird:367,bird:272
person:1,0,836,2421,1316,2191,2724,3377,2590,1550,2107,899,1524,551,1162,3516,1873,2224,823
person:2,836,0,1589,482,1359,1891,2545,1754,713,1584,165,1120,288,868,2682,1117,1517,932
person:3,2421,1589,0,1107,229,302,956,208,888,1463,1528,1623,1870,1764,1096,763,871,2181
person:5,1316,482,1107,0,877,1409,2063,1274,248,1361,438,1063,764,962,2201,713,1136,1227
person:9,2191,1359,229,877,0,532,1186,415,662,1364,1299,1451,1640,1563,1325,598,810,1967
person:66,2724,1891,302,1409,532,0,653,190,1189,1632,1830,1867,2173,2036,793,1017,1024,2466
person:119,3377,2545,956,2063,1186,653,0,806,1841,2091,2482,2431,2826,2641,159,1619,1508,3088
backpack:137,2590,1754,208,1274,415,190,806,0,1043,1658,1705,1832,2039,1969,933,972,1058,2380
person:4,1550,713,888,248,662,1189,1841,1043,0,1415,686,1214,1001,1169,1975,664,1082,1468
bird:298,2107,1584,1463,1361,1364,1632,2091,1658,1415,0,1422,598,1710,960,2249,811,607,1418
handbag:363,899,165,1528,438,1299,1830,2482,1705,686,1422,0,956,357,716,2624,996,1381,840
bird:365,1524,1120,1623,1063,1451,1867,2431,1832,1214,598,956,0,1180,364,2591,860,952,822
person:370,551,288,1870,764,1640,2173,2826,2039,1001,1710,357,1180,0,864,2965,1351,1729,773
bird:375,1162,868,1764,962,1563,2036,2641,1969,1169,960,716,364,864,0,2797,1023,1228,482
person:377,3516,2682,1096,2201,1325,793,159,933,1975,2249,2624,2591,2965,2797,0,1774,1668,3242
bird:380,1873,1117,763,713,598,1017,1619,972,664,811,996,860,1351,1023,1774,0,425,1472
bird:367,2224,1517,871,1136,810,1024,1508,1058,1082,607,1381,952,1729,1228,1668,425,0,1708
bird:272,823,932,2181,1227,1967,2466,3088,2380,1468,1418,840,822,773,482,3242,1472,1708,0
