,person:1,person:2,person:3,person:5,backpack:9,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,bird:375,person:377,bird:272
person:1,0,829,2496,1312,2187,3363,2587,1534,2063,891,1521,544,1168,3516,826
person:2,829,0,1671,485,1362,2539,1759,705,1560,163,1152,287,926,2689,1016
person:3,2496,1671,0,1185,308,867,155,977,1540,1610,1745,1952,1904,1020,2359
person:5,1312,485,1185,0,877,2053,1275,233,1355,443,1116,768,1041,2204,1331
backpack:9,2187,1362,308,877,0,1176,416,672,1391,1302,1512,1643,1636,1328,2072
person:119,3363,2539,867,2053,1176,0,796,1842,2130,2475,2477,2819,2695,167,3181
backpack:137,2587,1759,155,1275,416,796,0,1056,1696,1709,1893,2043,2042,936,2487
person:4,1534,705,977,233,672,1842,1056,0,1408,676,1258,991,1232,1990,1556
bird:298,2063,1560,1540,1355,1391,2130,1696,1408,0,1398,568,1678,927,2294,1441
handbag:363,891,163,1610,443,1302,2475,1709,676,1398,0,990,356,779,2630,932
bird:365,1521,1152,1745,1116,1512,2477,1893,1258,568,990,0,1199,361,2644,874
person:370,544,287,1952,768,1643,2819,2043,991,1678,356,1199,0,905,2971,840
bird:375,1168,926,1904,1041,1636,2695,2042,1232,927,779,361,905,0,2861,531
person:377,3516,2689,1020,2204,1328,167,936,1990,2294,2630,2644,2971,2861,0,3346
bird:272,826,1016,2359,1331,2072,3181,2487,1556,1441,932,874,840,531,3346,0
