,person:1,person:2,person:3,person:5,person:9,person:119,handbag:137,person:4,bird:298,handbag:363,bird:365,person:370,bird:375,person:377,bird:272,bird:383,bird:384,bird:387,bird:388,bird:306
person:1,0,824,2453,1306,2185,3354,2573,1528,2010,881,1534,531,1151,3516,854,1653,2759,2240,3322,2834
person:2,824,0,1633,483,1365,2535,1749,703,1526,165,1201,296,955,2694,1109,1142,2027,1555,2543,2080
person:3,2453,1633,0,1149,268,901,178,941,1544,1579,1777,1922,1926,1062,2421,1435,885,940,1049,802
person:5,1306,483,1149,0,881,2051,1268,234,1336,448,1180,774,1087,2211,1430,985,1602,1186,2079,1637
person:9,2185,1365,268,881,0,1169,407,676,1408,1311,1577,1654,1693,1330,2172,1245,973,867,1266,931
person:119,3354,2535,901,2051,1169,0,803,1840,2167,2477,2528,2823,2745,173,3272,2182,1110,1523,651,945
handbag:137,2573,1749,178,1268,407,803,0,1047,1721,1707,1953,2042,2092,952,2579,1611,1006,1112,1064,901
person:4,1528,703,941,234,676,1840,1047,0,1399,682,1325,999,1282,1997,1656,1082,1487,1135,1913,1501
bird:298,2010,1526,1544,1336,1408,2167,1721,1399,0,1362,525,1639,907,2336,1448,384,1124,646,1783,1275
handbag:363,881,165,1579,448,1311,2477,1707,682,1362,0,1037,359,807,2641,1022,978,1909,1421,2448,1972
bird:365,1534,1201,1777,1180,1577,2528,1953,1325,525,1037,0,1236,392,2700,923,347,1573,1037,2229,1707
person:370,531,296,1922,774,1654,2823,2042,999,1639,359,1236,0,915,2985,914,1259,2265,1766,2807,2330
bird:375,1151,955,1926,1087,1693,2745,2092,1282,907,807,392,915,0,2918,562,625,1877,1329,2518,1996
person:377,3516,2694,1062,2211,1330,173,952,1997,2336,2641,2700,2985,2918,0,3444,2355,1266,1693,752,1100
bird:272,854,1109,2421,1430,2172,3272,2579,1656,1448,1022,923,914,562,3444,0,1188,2438,1889,3075,2554
bird:383,1653,1142,1435,985,1245,2182,1611,1082,384,978,347,1259,625,2355,1188,0,1255,709,1903,1381
bird:384,2759,2027,885,1602,973,1110,1006,1487,1124,1909,1573,2265,1877,1266,2438,1255,0,548,660,165
bird:387,2240,1555,940,1186,867,1523,1112,1135,646,1421,1037,1766,1329,1693,1889,709,548,0,1194,671
bird:388,3322,2543,1049,2079,1266,651,1064,1913,1783,2448,2229,2807,2518,752,3075,1903,660,1194,0,522
bird:306,2834,2080,802,1637,931,945,901,1501,1275,1972,1707,2330,1996,1100,2554,1381,165,671,522,0
