,person:1,person:2,person:3,person:5,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,bird:375,person:377,bird:272,bird:383,bird:384,bird:387,bird:388,bird:392,bird:306
person:1,0,820,2442,1303,3353,2563,1525,1957,875,1525,512,1117,3516,879,1618,2743,2193,3336,2306,2813
person:2,820,0,1626,486,2537,1743,705,1491,159,1229,311,957,2699,1182,1122,2018,1520,2561,1572,2067
person:3,2442,1626,0,1140,911,176,932,1569,1572,1836,1929,1961,1074,2496,1457,896,966,1072,703,815
person:5,1303,486,1140,0,2051,1259,233,1318,449,1229,791,1111,2213,1512,980,1594,1159,2095,1151,1624
person:119,3353,2537,911,2051,0,810,1841,2217,2481,2594,2840,2794,175,3356,2219,1134,1575,659,1305,979
backpack:137,2563,1743,176,1259,810,0,1040,1745,1701,2010,2051,2126,961,2654,1632,1014,1137,1081,868,914
person:4,1525,705,932,233,1841,1040,0,1391,682,1379,1015,1310,1999,1738,1085,1482,1117,1929,1054,1493
bird:298,1957,1491,1569,1318,2217,1745,1391,0,1333,505,1600,894,2390,1448,369,1158,644,1852,923,1298
handbag:363,875,159,1572,449,2481,1701,682,1333,0,1074,368,819,2646,1104,964,1903,1387,2468,1458,1959
bird:365,1525,1229,1836,1229,2594,2010,1379,505,1074,0,1251,415,2770,944,380,1612,1045,2302,1294,1739
person:370,512,311,1929,791,2840,2051,1015,1600,368,1251,0,899,3004,967,1237,2265,1736,2837,1822,2326
bird:375,1117,957,1961,1111,2794,2126,1310,894,819,415,899,0,2969,585,635,1908,1325,2582,1534,2019
person:377,3516,2699,1074,2213,175,961,1999,2390,2646,2770,3004,2969,0,3530,2395,1294,1748,761,1479,1139
bird:272,879,1182,2496,1512,3356,2654,1738,1448,1104,944,967,585,3530,0,1220,2494,1911,3166,2116,2604
bird:383,1618,1122,1457,980,2219,1632,1085,369,964,380,1237,635,2395,1220,0,1276,695,1957,926,1393
bird:384,2743,2018,896,1594,1134,1014,1482,1158,1903,1612,2265,1908,1294,2494,1276,0,583,693,446,155
bird:387,2193,1520,966,1159,1575,1137,1117,644,1387,1045,1736,1325,1748,1911,695,583,0,1261,281,697
bird:388,3336,2561,1072,2095,659,1081,1929,1852,2468,2302,2837,2582,761,3166,1957,693,1261,0,1055,564
bird:392,2306,1572,703,1151,1305,868,1054,923,1458,1294,1822,1534,1479,2116,926,446,281,1055,0,508
bird:306,2813,2067,815,1624,979,914,1493,1298,1959,1739,2326,2019,1139,2604,1393,155,697,564,508,0
