,person:1,person:2,person:3,person:5,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,bird:392,bird:306,person:66,bird:387
person:1,0,817,2385,1301,3349,2563,1469,1777,871,1350,430,3516,1529,2311,2703,2679,2012
person:2,817,0,1569,485,2534,1746,653,1382,133,1146,389,2700,1101,1565,1952,1864,1352
person:3,2385,1569,0,1084,964,215,929,1706,1519,1944,1954,1131,1587,672,788,294,1031
person:5,1301,485,1084,0,2049,1262,183,1312,449,1254,872,2215,1055,1148,1521,1379,1041
person:119,3349,2534,964,2049,0,803,1891,2442,2481,2781,2919,176,2401,1291,1051,670,1742
backpack:137,2563,1746,215,1262,803,0,1096,1917,1705,2159,2134,960,1802,848,885,176,1234
person:4,1469,653,929,183,1891,1096,0,1411,629,1403,1042,2054,1170,1081,1435,1222,1048
bird:298,1777,1382,1706,1312,2442,1917,1411,0,1249,491,1501,2615,280,1152,1442,1911,704
handbag:363,871,133,1519,449,2481,1705,629,1249,0,1026,443,2650,968,1466,1855,1812,1232
bird:365,1350,1146,1944,1254,2781,2159,1403,491,1026,0,1149,2957,384,1503,1843,2190,1063
person:370,430,389,1954,872,2919,2134,1042,1501,443,1149,0,3086,1231,1899,2291,2249,1630
person:377,3516,2700,1131,2215,176,960,2054,2615,2650,2957,3086,0,2577,1465,1213,837,1916
bird:383,1529,1101,1587,1055,2401,1802,1170,280,968,384,1231,2577,0,1119,1459,1822,679
bird:392,2311,1565,672,1148,1291,848,1081,1152,1466,1503,1899,1465,1119,0,392,793,451
bird:306,2703,1952,788,1521,1051,885,1435,1442,1855,1843,2291,1213,1459,392,0,759,781
person:66,2679,1864,294,1379,670,176,1222,1911,1812,2190,2249,837,1822,793,759,0,1213
bird:387,2012,1352,1031,1041,1742,1234,1048,704,1232,1063,1630,1916,679,451,781,1213,0
