,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:12,kite:15,bird:64,bird:45
person:1,0,840,2900,2084,1277,3334,2369,938,1907,3419,1270
person:2,840,0,2063,1255,438,2497,1534,1359,1244,2654,917
person:3,2900,2063,0,823,1625,436,533,3125,1413,1050,2126
person:4,2084,1255,823,0,822,1259,291,2321,783,1486,1358
person:5,1277,438,1625,822,0,2058,1097,1684,972,2255,962
person:6,3334,2497,436,1259,2058,0,969,3554,1808,1027,2545
person:9,2369,1534,533,291,1097,969,0,2608,987,1306,1631
bird:12,938,1359,3125,2321,1684,3554,2608,0,1820,3358,1034
kite:15,1907,1244,1413,783,972,1808,987,1820,0,1553,785
bird:64,3419,2654,1050,1486,2255,1027,1306,3358,1553,0,2330
bird:45,1270,917,2126,1358,962,2545,1631,1034,785,2330,0
