,person:1,person:2,person:3,person:5,person:119,backpack:137,person:4,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,bird:392,bird:306,person:66,bird:400,bird:387
person:1,0,814,2379,1297,3348,2563,1469,1741,865,1364,409,3516,1489,2299,2675,2673,950,2005
person:2,814,0,1568,484,2537,1748,654,1390,146,1212,408,2703,1093,1561,1933,1861,1005,1370
person:3,2379,1568,0,1084,969,219,924,1759,1520,2010,1970,1136,1614,665,779,293,2155,1076
person:5,1297,484,1084,0,2053,1266,188,1329,451,1318,888,2219,1051,1138,1499,1377,1268,1063
person:119,3348,2537,969,2053,0,803,1891,2508,2487,2847,2939,176,2439,1294,1068,675,3059,1784
backpack:137,2563,1748,219,1266,803,0,1096,1975,1710,2230,2154,961,1833,845,883,174,2371,1282
person:4,1469,654,924,188,1891,1096,0,1440,636,1473,1063,2054,1176,1070,1413,1216,1449,1079
bird:298,1741,1390,1759,1329,2508,1975,1440,0,1245,464,1487,2680,297,1214,1485,1967,881,724
handbag:363,865,146,1520,451,2487,1710,636,1245,0,1079,457,2656,947,1459,1834,1813,905,1240
bird:365,1364,1212,2010,1318,2847,2230,1473,464,1079,0,1186,3022,407,1561,1875,2253,438,1088
person:370,409,408,1970,888,2939,2154,1063,1487,457,1186,0,3106,1207,1906,2282,2263,851,1644
person:377,3516,2703,1136,2219,176,961,2054,2680,2656,3022,3106,0,2614,1468,1230,843,3235,1957
bird:383,1489,1093,1614,1051,2439,1833,1176,297,947,407,1207,2614,0,1154,1476,1850,716,689
bird:392,2299,1561,665,1138,1294,845,1070,1214,1459,1561,1906,1468,1154,0,375,787,1817,490
bird:306,2675,1933,779,1499,1068,883,1413,1485,1834,1875,2282,1230,1476,375,0,757,2164,787
person:66,2673,1861,293,1377,675,174,1216,1967,1813,2253,2263,843,1850,787,757,0,2424,1255
bird:400,950,1005,2155,1268,3059,2371,1449,881,905,438,851,3235,716,1817,2164,2424,0,1387
bird:387,2005,1370,1076,1063,1784,1282,1079,724,1240,1088,1644,1957,689,490,787,1255,1387,0
