,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,bird:392,bird:306,person:66,bird:400,bird:387,bird:346,bird:388
person:1,0,809,2375,1294,3346,2558,1709,855,1358,388,3515,1461,2296,2643,2666,912,1975,1026,3402
person:2,809,0,1570,488,2542,1749,1399,151,1252,424,2709,1093,1569,1914,1861,1020,1366,738,2639
person:3,2375,1570,0,1082,971,220,1815,1525,2071,1986,1140,1642,676,785,290,2198,1123,1735,1197
person:5,1294,488,1082,0,2053,1265,1345,455,1361,905,2221,1052,1137,1473,1372,1291,1061,874,2168
person:119,3346,2542,971,2053,0,806,2573,2495,2911,2957,177,2474,1304,1103,680,3109,1838,2650,705
backpack:137,2558,1749,220,1265,806,0,2032,1715,2291,2170,965,1863,858,898,174,2413,1331,1950,1153
bird:298,1709,1399,1815,1345,2573,2032,0,1248,452,1479,2747,307,1269,1515,2023,889,735,711,2284
handbag:363,855,151,1525,455,2495,1715,1248,0,1115,468,2665,942,1466,1814,1815,918,1232,598,2555
bird:365,1358,1252,2071,1361,2911,2291,452,1115,0,1205,3087,436,1616,1900,2312,468,1100,518,2686
person:370,388,424,1986,905,2957,2170,1479,468,1205,0,3126,1199,1923,2271,2277,837,1638,767,3021
person:377,3515,2709,1140,2221,177,965,2747,2665,3087,3126,0,2651,1479,1267,850,3287,2012,2827,783
bird:383,1461,1093,1642,1052,2474,1863,307,942,436,1199,2651,0,1182,1477,1878,739,678,437,2268
bird:392,2296,1569,676,1137,1304,858,1269,1466,1616,1923,1479,1182,0,348,796,1865,533,1425,1123
bird:306,2643,1914,785,1473,1103,898,1515,1814,1900,2271,1267,1477,348,0,775,2184,800,1756,793
person:66,2666,1861,290,1372,680,174,2023,1815,2312,2277,850,1878,796,775,0,2466,1303,2003,978
bird:400,912,1020,2198,1291,3109,2413,889,918,468,837,3287,739,1865,2184,2466,0,1400,463,2978
bird:387,1975,1366,1123,1061,1838,1331,735,1232,1100,1638,2012,678,533,800,1303,1400,0,1001,1589
bird:346,1026,738,1735,874,2650,1950,711,598,518,767,2827,437,1425,1756,2003,463,1001,0,2547
bird:388,3402,2639,1197,2168,705,1153,2284,2555,2686,3021,783,2268,1123,793,978,2978,1589,2547,0
