,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,bird:392,person:66,bird:387,bird:346,bird:388
person:1,0,806,2372,1299,3347,2549,1691,857,1330,366,3517,1450,2290,2664,1931,985,3426
person:2,806,0,1570,495,2546,1743,1418,146,1260,442,2714,1114,1574,1862,1342,755,2667
person:3,2372,1570,0,1074,975,218,1877,1519,2112,2005,1145,1688,706,292,1167,1794,1219
person:5,1299,495,1074,0,2050,1250,1392,457,1395,932,2218,1097,1145,1366,1057,929,2190
person:119,3347,2546,975,2050,0,816,2644,2493,2962,2981,177,2524,1333,683,1898,2715,708
backpack:137,2549,1743,218,1250,816,0,2093,1703,2330,2183,976,1907,889,181,1377,2005,1179
bird:298,1691,1418,1877,1392,2644,2093,0,1275,453,1491,2818,306,1311,2090,746,729,2376
handbag:363,857,146,1519,457,2493,1703,1275,0,1134,492,2664,970,1466,1811,1206,628,2579
bird:365,1330,1260,2112,1395,2962,2330,453,1134,0,1203,3139,437,1644,2357,1092,505,2764
person:370,366,442,2005,932,2981,2183,1491,492,1203,0,3150,1217,1943,2297,1620,762,3068
person:377,3517,2714,1145,2218,177,976,2818,2664,3139,3150,0,2701,1507,853,2073,2892,780
bird:383,1450,1114,1688,1097,2524,1907,306,970,437,1217,2701,0,1207,1926,662,465,2336
bird:392,2290,1574,706,1145,1333,889,1311,1466,1644,1943,1507,1207,0,827,565,1474,1161
person:66,2664,1862,292,1366,683,181,2090,1811,2357,2297,853,1926,827,0,1355,2065,997
bird:387,1931,1342,1167,1057,1898,1377,746,1206,1092,1620,2073,662,565,1355,0,1008,1674
bird:346,985,755,1794,929,2715,2005,729,628,505,762,2892,465,1474,2065,1008,0,2635
bird:388,3426,2667,1219,2190,708,1179,2376,2579,2764,3068,780,2336,1161,997,1674,2635,0
