,person:1,person:2,person:3,person:5,person:119,handbag:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:409,bird:251,bird:306,bird:316
person:1,0,804,2365,1303,3350,2549,1629,854,1296,300,3519,1379,2660,1187,784,2519,1751
person:2,804,0,1565,501,2550,1745,1445,161,1332,506,2717,1103,1860,632,749,1808,1185
person:3,2365,1565,0,1063,985,225,2024,1517,2267,2065,1153,1772,294,1380,1971,794,1218
person:5,1303,501,1063,0,2048,1246,1481,470,1522,1003,2216,1138,1358,589,1044,1374,945
person:119,3350,2550,985,2048,0,819,2820,2501,3137,3050,172,2630,690,2323,2920,1234,2024
handbag:137,2549,1745,225,1246,819,0,2249,1709,2492,2249,980,1997,181,1599,2186,942,1442
bird:298,1629,1445,2024,1481,2820,2249,0,1289,454,1486,2987,349,2247,897,854,1620,810
handbag:363,854,161,1517,470,2501,1709,1289,0,1200,555,2670,945,1811,473,638,1696,1034
bird:365,1296,1332,2267,1522,3137,2492,454,1200,0,1222,3307,506,2519,952,605,1984,1118
person:370,300,506,2065,1003,3050,2249,1486,555,1222,0,3218,1197,2360,922,637,2235,1497
person:377,3519,2717,1153,2216,172,980,2987,2670,3307,3218,0,2801,859,2495,3093,1392,2193
bird:383,1379,1103,1772,1138,2630,1997,349,945,506,1197,2801,0,2017,550,598,1487,614
person:66,2660,1860,294,1358,690,181,2247,1811,2519,2360,859,2017,0,1657,2252,833,1436
bird:409,1187,632,1380,589,2323,1599,897,473,952,922,2495,550,1657,0,597,1345,578
bird:251,784,749,1971,1044,2920,2186,854,638,605,637,3093,598,2252,597,0,1908,1059
bird:306,2519,1808,794,1374,1234,942,1620,1696,1984,2235,1392,1487,833,1345,1908,0,877
bird:316,1751,1185,1218,945,2024,1442,810,1034,1118,1497,2193,614,1436,578,1059,877,0
