,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:409,bird:251,bird:306,bird:279,bird:392,bird:387
person:1,0,812,2363,1306,3355,2538,1599,853,1307,276,3522,1327,2656,1135,740,2483,814,2245,1749
person:2,812,0,1554,495,2546,1726,1443,142,1375,537,2712,1064,1847,611,711,1765,831,1529,1201
person:3,2363,1554,0,1058,992,219,2070,1513,2324,2086,1159,1786,293,1440,1964,783,2032,736,1276
person:5,1306,495,1058,0,2050,1233,1504,468,1577,1029,2217,1124,1352,625,1025,1339,1124,1114,989
person:119,3355,2546,992,2050,0,832,2883,2504,3202,3078,172,2663,698,2392,2926,1262,2983,1402,2082
backpack:137,2538,1726,219,1233,832,0,2289,1696,2543,2262,993,2004,184,1650,2169,936,2241,927,1493
bird:298,1599,1443,2070,1504,2883,2289,0,1308,436,1475,3049,386,2296,890,879,1651,786,1480,806
handbag:363,853,142,1513,468,2504,1696,1308,0,1260,578,2673,926,1806,469,617,1667,733,1429,1066
bird:365,1307,1375,2324,1577,3202,2543,436,1260,0,1247,3372,541,2575,959,686,2011,566,1817,1130
person:370,276,537,2086,1029,3078,2262,1475,578,1247,0,3245,1160,2379,894,595,2222,699,1983,1520
person:377,3522,2712,1159,2217,172,993,3049,2673,3372,3245,0,2834,866,2564,3098,1420,3155,1568,2250
bird:383,1327,1064,1786,1124,2663,2004,386,926,541,1160,2834,0,2034,504,587,1492,534,1287,608
person:66,2656,1847,293,1352,698,184,2296,1806,2575,2379,866,2034,0,1717,2246,835,2310,870,1491
bird:409,1135,611,1440,625,2392,1650,890,469,959,894,2564,504,1717,0,536,1369,593,1134,628
bird:251,740,711,1964,1025,2926,2169,879,617,686,595,3098,587,2246,536,0,1889,122,1658,1067
bird:306,2483,1765,783,1339,1262,936,1651,1667,2011,2222,1420,1492,835,1369,1889,0,1912,238,884
bird:279,814,831,2032,1124,2983,2241,786,733,566,699,3155,534,2310,593,122,1912,0,1685,1065
bird:392,2245,1529,736,1114,1402,927,1480,1429,1817,1983,1568,1287,870,1134,1658,238,1685,0,687
bird:387,1749,1201,1276,989,2082,1493,806,1066,1130,1520,2250,608,1491,628,1067,884,1065,687,0
