,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:279,bird:392,bird:387,bird:384,bird:251
person:1,0,829,2362,1303,3366,2559,1538,864,1248,256,3542,1306,2658,795,2224,1724,2635,663
person:2,829,0,1538,477,2542,1730,1467,131,1392,574,2716,1066,1833,932,1500,1206,1915,724
person:3,2362,1538,0,1060,1004,239,2188,1500,2397,2106,1179,1809,295,2150,744,1354,901,2019
person:5,1303,477,1060,0,2065,1256,1567,451,1614,1047,2239,1135,1356,1234,1102,1030,1507,1057
person:119,3366,2542,1004,2065,0,827,3023,2503,3295,3110,180,2698,708,3110,1428,2165,1246,2997
backpack:137,2559,1730,239,1256,827,0,2427,1703,2636,2303,993,2049,179,2380,953,1591,1039,2244
bird:298,1538,1467,2188,1567,3023,2427,0,1346,412,1452,3199,432,2421,743,1596,858,1875,902
handbag:363,864,131,1500,451,2503,1703,1346,0,1291,609,2680,940,1795,850,1406,1078,1821,650
bird:365,1248,1392,2397,1614,3295,2636,412,1291,0,1220,3474,596,2654,494,1887,1152,2207,702
person:370,256,574,2106,1047,3110,2303,1452,609,1220,0,3285,1162,2402,731,1985,1524,2398,550
person:377,3542,2716,1179,2239,180,993,3199,2680,3474,3285,0,2877,884,3290,1603,2342,1403,3177
bird:383,1306,1066,1809,1135,2698,2049,432,940,596,1162,2877,0,2061,580,1295,573,1632,644
person:66,2658,1833,295,1356,708,179,2421,1795,2654,2402,884,2061,0,2429,885,1570,907,2305
bird:279,795,932,2150,1234,3110,2380,743,850,494,731,3290,580,2429,0,1774,1115,2149,213
bird:392,2224,1500,744,1102,1428,953,1596,1406,1887,1985,1603,1295,885,1774,0,741,415,1709
bird:387,1724,1206,1354,1030,2165,1591,858,1078,1152,1524,2342,573,1570,1115,741,0,1059,1108
bird:384,2635,1915,901,1507,1246,1039,1875,1821,2207,2398,1403,1632,907,2149,415,1059,0,2101
bird:251,663,724,2019,1057,2997,2244,902,650,702,550,3177,644,2305,213,1709,1108,2101,0
