,person:1,person:2,person:3,person:5,person:119,handbag:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:387,bird:384,bird:251
person:1,0,831,2367,1306,3372,2557,1521,869,1196,242,3551,1335,2660,1694,2627,649
person:2,831,0,1536,475,2542,1726,1443,98,1348,589,2720,1056,1829,1156,1880,701
person:3,2367,1536,0,1062,1005,234,2246,1500,2442,2125,1184,1827,293,1402,892,2041
person:5,1306,475,1062,0,2068,1251,1603,451,1630,1064,2245,1163,1355,1040,1494,1073
person:119,3372,2542,1005,2068,0,834,3089,2505,3352,3130,183,2712,712,2222,1249,3021
handbag:137,2557,1726,234,1251,834,0,2481,1698,2674,2315,1004,2061,179,1635,1031,2259
bird:298,1521,1443,2246,1603,3089,2481,0,1360,439,1449,3269,445,2481,868,1934,903
handbag:363,869,98,1500,451,2505,1698,1360,0,1285,629,2684,965,1793,1059,1805,659
bird:365,1196,1348,2442,1630,3352,2674,439,1285,0,1182,3534,645,2701,1162,2264,677
person:370,242,589,2125,1064,3130,2315,1449,629,1182,0,3309,1200,2418,1509,2403,546
person:377,3551,2720,1184,2245,183,1004,3269,2684,3534,3309,0,2894,891,2402,1412,3205
bird:383,1335,1056,1827,1163,2712,2061,445,965,645,1200,2894,0,2075,521,1624,686
person:66,2660,1829,293,1355,712,179,2481,1793,2701,2418,891,2075,0,1621,903,2325
bird:387,1694,1156,1402,1040,2222,1635,868,1059,1162,1509,2402,521,1621,0,1103,1089
bird:384,2627,1880,892,1494,1249,1031,1934,1805,2264,2403,1412,1624,903,1103,0,2113
bird:251,649,701,2041,1073,3021,2259,903,659,677,546,3205,686,2325,1089,2113,0
