,person:1,person:2,person:3,person:5,person:119,handbag:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:387,bird:420
person:1,0,822,2357,1298,3369,2544,1506,864,1217,225,3554,1329,2657,1651,672
person:2,822,0,1537,476,2549,1721,1484,127,1414,597,2734,1083,1837,1162,967
person:3,2357,1537,0,1061,1011,231,2295,1497,2495,2132,1197,1834,299,1443,2292
person:5,1298,476,1061,0,2072,1246,1635,450,1682,1073,2257,1169,1360,1045,1335
person:119,3369,2549,1011,2072,0,843,3149,2507,3410,3144,190,2725,711,2277,3271
handbag:137,2544,1721,231,1246,843,0,2526,1691,2724,2319,1020,2065,186,1674,2509
bird:298,1506,1484,2295,1635,3149,2526,0,1375,421,1447,3335,478,2537,872,843
handbag:363,864,127,1497,450,2507,1691,1375,0,1329,641,2694,962,1796,1035,914
bird:365,1217,1414,2495,1682,3410,2724,421,1329,0,1212,3600,689,2760,1160,551
person:370,225,597,2132,1073,3144,2319,1447,641,1212,0,3329,1205,2432,1483,663
person:377,3554,2734,1197,2257,190,1020,3335,2694,3600,3329,0,2914,898,2464,3462
bird:383,1329,1083,1834,1169,2725,2065,478,962,689,1205,2914,0,2087,476,777
person:66,2657,1837,299,1360,711,186,2537,1796,2760,2432,898,2087,0,1671,2580
bird:387,1651,1162,1443,1045,2277,1674,872,1035,1160,1483,2464,476,1671,0,1205
bird:420,672,967,2292,1335,3271,2509,843,914,551,663,3462,777,2580,1205,0
