,person:1,person:2,person:3,person:5,person:119,handbag:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:387,bird:420,bird:422,bird:423,bird:380
person:1,0,813,2355,1277,3367,2548,1488,867,1270,213,3559,1280,2656,1598,686,2520,1585,1786
person:2,813,0,1545,466,2557,1735,1506,141,1485,600,2748,1058,1846,1140,1020,1804,936,1046
person:3,2355,1545,0,1079,1012,238,2340,1492,2549,2142,1204,1841,300,1474,2345,822,1077,751
person:5,1277,466,1079,0,2091,1271,1656,427,1734,1064,2282,1144,1380,1033,1374,1407,681,659
person:119,3367,2557,1012,2091,0,837,3201,2503,3460,3154,196,2743,711,2322,3325,1274,1993,1683
handbag:137,2548,1735,238,1271,837,0,2578,1693,2785,2335,1020,2079,181,1712,2570,980,1315,989
bird:298,1488,1506,2340,1656,3201,2578,0,1392,373,1438,3393,521,2587,880,820,1985,1264,1589
handbag:363,867,141,1492,427,2503,1693,1392,0,1397,655,2696,929,1792,999,971,1695,807,941
bird:365,1270,1485,2549,1734,3460,2785,373,1397,0,1269,3655,716,2814,1151,585,2285,1477,1800
person:370,213,600,2142,1064,3154,2335,1438,655,1269,0,3345,1162,2442,1440,690,2322,1393,1582
person:377,3559,2748,1204,2282,196,1020,3393,2696,3655,3345,0,2938,903,2515,3521,1453,2189,1880
bird:383,1280,1058,1841,1144,2743,2079,521,929,716,1162,2938,0,2101,453,765,1586,765,1090
person:66,2656,1846,300,1380,711,181,2587,1792,2814,2442,903,2101,0,1710,2635,867,1337,1014
bird:387,1598,1140,1474,1033,2322,1712,880,999,1151,1440,2515,453,1710,0,1189,1136,431,735
bird:420,686,1020,2345,1374,3325,2570,820,971,585,690,3521,765,2635,1189,0,2278,1357,1645
bird:422,2520,1804,822,1407,1274,980,1985,1695,2285,2322,1453,1586,867,1136,2278,0,942,759
bird:423,1585,936,1077,681,1993,1315,1264,807,1477,1393,2189,765,1337,431,1357,942,0,325
bird:380,1786,1046,751,659,1683,989,1589,941,1800,1582,1880,1090,1014,735,1645,759,325,0
