,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,person:66,bird:423,bird:367
person:1,0,831,2427,1316,3382,2567,1410,890,1271,210,3578,2679,1569,1458
person:2,831,0,1600,487,2555,1737,1517,143,1553,624,2750,1852,906,1035
person:3,2427,1600,0,1112,955,198,2485,1538,2694,2217,1151,252,1124,1580
person:5,1316,487,1112,0,2067,1252,1713,438,1828,1107,2263,1365,641,979
person:119,3382,2555,955,2067,0,833,3318,2493,3559,3172,199,703,2001,2417
backpack:137,2567,1737,198,1252,833,0,2678,1686,2883,2359,1021,187,1316,1775
bird:298,1410,1517,2485,1713,3318,2678,0,1417,314,1359,3513,2696,1362,907
handbag:363,890,143,1538,438,2493,1686,1417,0,1476,680,2690,1790,772,893
bird:365,1271,1553,2694,1828,3559,2883,314,1476,0,1266,3756,2916,1571,1143
person:370,210,624,2217,1107,3172,2359,1359,680,1266,0,3368,2469,1370,1291
person:377,3578,2750,1151,2263,199,1021,3513,2690,3756,3368,0,899,2200,2614
person:66,2679,1852,252,1365,703,187,2696,1790,2916,2469,899,0,1345,1789
bird:423,1569,906,1124,641,2001,1316,1362,772,1571,1370,2200,1345,0,467
bird:367,1458,1035,1580,979,2417,1775,907,893,1143,1291,2614,1789,467,0
