,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:429,bird:409,bird:437,bird:367
person:1,0,864,2502,1352,3407,2592,1411,929,1165,180,3617,1217,888,2705,1300
person:2,864,0,1642,491,2547,1728,1615,118,1542,684,2756,1004,610,1915,1003
person:3,2502,1642,0,1151,904,165,2693,1572,2809,2321,1115,1946,1853,698,1837
person:5,1352,491,1151,0,2056,1239,1851,428,1859,1171,2265,1127,848,1465,1070
person:119,3407,2547,904,2056,0,832,3494,2477,3648,3226,214,2772,2731,1040,2654
backpack:137,2592,1728,165,1239,832,0,2841,1666,2948,2411,1034,2090,1978,830,1984
bird:298,1411,1615,2693,1851,3494,2841,0,1558,345,1403,3705,755,1023,2518,857
handbag:363,929,118,1572,428,2477,1666,1558,0,1509,749,2688,916,538,1815,904
bird:365,1165,1542,2809,1859,3648,2948,345,1509,0,1193,3862,878,1011,2713,998
person:370,180,684,2321,1171,3226,2411,1403,749,1193,0,3436,1113,753,2533,1184
person:377,3617,2756,1115,2265,214,1034,3705,2688,3862,3436,0,2985,2946,1234,2867
bird:429,1217,1004,1946,1127,2772,2090,755,916,878,1113,2985,0,413,1841,124
bird:409,888,610,1853,848,2731,1978,1023,538,1011,753,2946,413,0,1901,450
bird:437,2705,1915,698,1465,1040,830,2518,1815,2713,2533,1234,1841,1901,0,1718
bird:367,1300,1003,1837,1070,2654,1984,857,904,998,1184,2867,124,450,1718,0
