,person:2,person:3,person:5,person:119,handbag:137,bird:298,handbag:363,person:370,person:377,bird:437,bird:440,bird:387
person:2,0,1654,469,2527,1697,1656,117,742,2742,1857,876,1050
person:3,1654,0,1185,873,151,2827,1611,2390,1089,662,1333,1904
person:5,469,1185,0,2058,1231,1915,435,1207,2273,1426,702,1120
person:119,2527,873,2058,0,843,3615,2484,3263,220,1049,2136,2689
handbag:137,1697,151,1231,843,0,2937,1664,2438,1051,806,1446,2019
bird:298,1656,2827,1915,3615,2937,0,1584,1360,3831,2626,1494,926
handbag:363,117,1611,435,2484,1664,1584,0,779,2701,1777,762,940
person:370,742,2390,1207,3263,2438,1360,779,0,3480,2530,1387,1229
person:377,2742,1089,2273,220,1051,3831,2701,3480,0,1249,2355,2907
bird:437,1857,662,1426,1049,806,2626,1777,2530,1249,0,1216,1717
bird:440,876,1333,702,2136,1446,1494,762,1387,2355,1216,0,572
bird:387,1050,1904,1120,2689,2019,926,940,1229,2907,1717,572,0
