,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,person:370,person:377,bird:437,bird:440,bird:443,bird:387,bird:423
person:2,0,1661,454,2515,1678,1638,117,774,2729,1813,840,2790,1050,851
person:3,1661,0,1206,854,146,2863,1637,2430,1070,632,1358,1368,1969,1192
person:5,454,1206,0,2061,1226,1906,440,1225,2275,1394,680,2368,1142,601
person:119,2515,854,2061,0,850,3643,2491,3284,220,1051,2150,1024,2742,1992
backpack:137,1678,146,1226,850,0,2947,1664,2452,1056,777,1446,1470,2059,1279
bird:298,1638,2863,1906,3643,2947,0,1557,1299,3862,2647,1505,3464,901,1670
handbag:363,117,1637,440,2491,1664,1557,0,794,2707,1750,732,2724,937,755
person:370,774,2430,1225,3284,2452,1299,794,0,3500,2519,1376,3486,1206,1463
person:377,2729,1070,2275,220,1056,3862,2707,3500,0,1256,2370,1085,2961,2212
bird:437,1813,632,1394,1051,777,2647,1750,2519,1256,0,1213,976,1755,1080
bird:440,840,1358,680,2150,1446,1505,732,1376,2370,1213,0,2142,613,167
bird:443,2790,1368,2368,1024,1470,3464,2724,3486,1085,976,2142,0,2613,2029
bird:387,1050,1969,1142,2742,2059,901,937,1206,2961,1755,613,2613,0,780
bird:423,851,1192,601,1992,1279,1670,755,1463,2212,1080,167,2029,780,0
