,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:437,bird:440,bird:443,bird:387
person:2,0,1666,454,2520,1680,125,807,2736,1806,831,2800,1038
person:3,1666,0,1212,853,146,1642,2467,1072,640,1382,1374,2028
person:5,454,1212,0,2065,1228,441,1257,2282,1388,681,2378,1159
person:119,2520,853,2065,0,853,2495,3321,224,1069,2175,1028,2808
handbag:137,1680,146,1228,853,0,1666,2486,1062,786,1466,1478,2112
handbag:363,125,1642,441,2495,1666,0,826,2715,1739,715,2732,919
person:370,807,2467,1257,3321,2486,826,0,3539,2540,1385,3526,1163
person:377,2736,1072,2282,224,1062,2715,3539,0,1279,2399,1093,3031
bird:437,1806,640,1388,1069,786,1739,2540,1279,0,1223,993,1810
bird:440,831,1382,681,2175,1466,715,1385,2399,1223,0,2173,646
bird:443,2800,1374,2378,1028,1478,2732,3526,1093,993,2173,0,2697
bird:387,1038,2028,1159,2808,2112,919,1163,3031,1810,646,2697,0
