,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:440,bird:443,bird:387
person:2,0,1664,462,2525,1679,131,813,2744,817,2811,1091
person:3,1664,0,1202,860,140,1634,2471,1082,1371,1388,2117
person:5,462,1202,0,2063,1220,443,1271,2283,664,2383,1240
person:119,2525,860,2063,0,857,2494,3331,227,2172,1035,2902
backpack:137,1679,140,1220,857,0,1660,2491,1070,1452,1486,2200
handbag:363,131,1634,443,2494,1660,0,838,2716,694,2735,972
person:370,813,2471,1271,3331,2491,838,0,3553,1382,3540,1152
person:377,2744,1082,2283,227,1070,2716,3553,0,2400,1101,3128
bird:440,817,1371,664,2172,1452,694,1382,2400,0,2184,747
bird:443,2811,1388,2383,1035,1486,2735,3540,1101,2184,0,2785
bird:387,1091,2117,1240,2902,2200,972,1152,3128,747,2785,0
