,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:387,bird:453,bird:346
person:2,0,1655,459,2516,1668,125,841,2744,2823,1112,1773,1018
person:3,1655,0,1196,861,135,1628,2488,1091,1410,2159,728,2495
person:5,459,1196,0,2057,1213,441,1295,2286,2395,1269,1361,1382
person:119,2516,861,2057,0,859,2489,3349,237,1050,2944,1173,3336
backpack:137,1668,135,1213,859,0,1652,2508,1080,1505,2237,863,2544
handbag:363,125,1628,441,2489,1652,0,861,2720,2751,999,1698,964
person:370,841,2488,1295,3349,2508,861,0,3580,3572,1137,2517,567
person:377,2744,1091,2286,237,1080,2720,3580,0,1118,3180,1394,3572
bird:443,2823,1410,2395,1050,1505,2751,3572,1118,0,2842,1056,3388
bird:387,1112,2159,1269,2944,2237,999,1137,3180,2842,0,1861,661
bird:453,1773,728,1361,1173,863,1698,2517,1394,1056,1861,0,2357
bird:346,1018,2495,1382,3336,2544,964,567,3572,3388,661,2357,0
