,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:453,bird:459,bird:460,bird:383
person:2,0,1646,466,2519,1703,128,797,2764,2842,1624,863,759,1269
person:3,1646,0,1179,873,122,1606,2439,1120,1446,725,1587,1978,2336
person:5,466,1179,0,2053,1238,436,1260,2298,2410,1215,826,979,1458
person:119,2519,873,2053,0,824,2479,3313,250,1080,1280,2388,2814,3124
backpack:137,1703,122,1238,824,0,1670,2499,1064,1494,845,1691,2070,2440
handbag:363,128,1606,436,2479,1670,0,836,2726,2758,1534,735,658,1168
person:370,797,2439,1260,3313,2499,836,0,3559,3562,2335,1292,875,1208
person:377,2764,1120,2298,250,1064,2726,3559,0,1137,1517,2636,3065,3371
bird:443,2842,1446,2410,1080,1494,2758,3562,1137,0,1227,2369,2849,2992
bird:453,1624,725,1215,1280,845,1534,2335,1517,1227,0,1186,1655,1883
bird:459,863,1587,826,2388,1691,735,1292,2636,2369,1186,0,481,749
bird:460,759,1978,979,2814,2070,658,875,3065,2849,1655,481,0,510
bird:383,1269,2336,1458,3124,2440,1168,1208,3371,2992,1883,749,510,0
