,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:460,bird:383,person:468,bird:469
person:2,0,1642,472,2523,1711,115,781,2769,2849,767,1304,1316,773
person:3,1642,0,1170,881,121,1593,2421,1129,1458,1953,2362,326,1635
person:5,472,1170,0,2051,1241,430,1252,2298,2414,975,1498,844,794
person:119,2523,881,2051,0,818,2474,3302,251,1086,2793,3153,1207,2459
backpack:137,1711,121,1241,818,0,1668,2493,1060,1491,2054,2473,403,1742
handbag:363,115,1593,430,2474,1668,0,830,2722,2763,681,1222,1268,661
person:370,781,2421,1252,3302,2493,830,0,3550,3560,911,1246,2095,1176
person:377,2769,1129,2298,251,1060,2722,3550,0,1144,3044,3401,1454,2710
bird:443,2849,1458,2414,1086,1491,2763,3560,1144,0,2823,3012,1705,2476
bird:460,767,1953,975,2793,2054,681,911,3044,2823,0,541,1661,349
bird:383,1304,2362,1498,3153,2473,1222,1246,3401,3012,541,0,2099,744
person:468,1316,326,844,1207,403,1268,2095,1454,1705,1661,2099,0,1359
bird:469,773,1635,794,2459,1742,661,1176,2710,2476,349,744,1359,0
