,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:12,person:66,bird:26
person:1,0,846,2882,2067,1287,3326,2362,990,3183,1865
person:2,846,0,2042,1235,443,2483,1524,1511,2342,1206
person:3,2882,2042,0,823,1598,447,522,3286,300,1416
person:4,2067,1235,823,0,795,1270,301,2479,1121,770
person:5,1287,443,1598,795,0,2040,1081,1852,1898,933
person:6,3326,2483,447,1270,2040,0,969,3728,156,1830
person:9,2362,1524,522,301,1081,969,0,2777,822,989
bird:12,990,1511,3286,2479,1852,3728,2777,0,3573,1966
person:66,3183,2342,300,1121,1898,156,822,3573,0,1674
bird:26,1865,1206,1416,770,933,1830,989,1966,1674,0
