,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:460,bird:383,person:468,bird:470,bird:474
person:2,0,1661,474,2523,1726,118,768,2779,2848,768,1399,1309,1157,1619
person:3,1661,0,1187,862,124,1612,2427,1120,1445,1987,2488,352,1496,803
person:5,474,1187,0,2049,1253,434,1241,2305,2414,992,1613,835,1015,1222
person:119,2523,862,2049,0,804,2474,3290,264,1095,2812,3261,1214,2222,1356
backpack:137,1726,124,1253,804,0,1684,2494,1054,1487,2086,2598,423,1615,925
handbag:363,118,1612,434,2474,1684,0,818,2732,2761,682,1318,1262,1039,1524
person:370,768,2427,1241,3290,2494,818,0,3546,3549,893,1296,2076,1625,2299
person:377,2779,1120,2305,264,1054,2732,3546,0,1171,3077,3524,1470,2482,1608
bird:443,2848,1445,2414,1095,1487,2761,3549,1171,0,2841,3098,1716,2084,1252
bird:460,768,1987,992,2812,2086,682,893,3077,2841,0,637,1675,786,1606
bird:383,1399,2488,1613,3261,2598,1318,1296,3524,3098,637,0,2210,1051,1951
person:468,1309,352,835,1214,423,1262,2076,1470,1716,1675,2210,0,1276,796
bird:470,1157,1496,1015,2222,1615,1039,1625,2482,2084,786,1051,1276,0,900
bird:474,1619,803,1222,1356,925,1524,2299,1608,1252,1606,1951,796,900,0
