,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:470,bird:474
person:2,0,1675,482,2530,1748,106,759,2787,2852,1456,1317,1142,1598
person:3,1675,0,1192,854,120,1611,2433,1113,1446,2555,359,1550,820
person:5,482,1192,0,2047,1266,424,1241,2304,2412,1677,834,1022,1197
person:119,2530,854,2047,0,788,2466,3288,264,1105,3318,1213,2274,1382
backpack:137,1748,120,1266,788,0,1688,2507,1040,1477,2667,436,1667,936
handbag:363,106,1611,424,2466,1688,0,823,2724,2760,1402,1254,1038,1500
person:370,759,2433,1241,3288,2507,823,0,3545,3546,1342,2075,1590,2270
person:377,2787,1113,2304,264,1040,2724,3545,0,1178,3579,1470,2534,1634
bird:443,2852,1446,2412,1105,1477,2760,3546,1178,0,3134,1716,2132,1279
bird:383,1456,2555,1677,3318,2667,1402,1342,3579,3134,0,2271,1049,1972
person:468,1317,359,834,1213,436,1254,2075,1470,1716,2271,0,1314,792
bird:470,1142,1550,1022,2274,1667,1038,1590,2534,2132,1049,1314,0,923
bird:474,1598,820,1197,1382,936,1500,2270,1634,1279,1972,792,923,0
