,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:474,bird:482,bird:470
person:2,0,1669,470,2523,1763,124,763,2787,2828,1624,1294,1450,648,1204
person:3,1669,0,1198,854,138,1618,2431,1120,1441,2754,375,899,1996,1704
person:5,470,1198,0,2052,1294,429,1233,2317,2398,1858,824,1079,924,1132
person:119,2523,854,2052,0,767,2472,3286,269,1119,3513,1228,1529,2826,2419
handbag:137,1763,138,1294,767,0,1719,2526,1026,1467,2888,475,1036,2116,1841
handbag:363,124,1618,429,2472,1719,0,820,2738,2735,1546,1245,1345,571,1081
person:370,763,2431,1233,3286,2526,820,0,3550,3531,1455,2057,2118,775,1598
person:377,2787,1120,2317,269,1026,2738,3550,0,1188,3776,1493,1786,3096,2679
bird:443,2828,1441,2398,1119,1467,2735,3531,1188,0,3280,1717,1421,2882,2208
bird:383,1624,2754,1858,3513,2888,1546,1455,3776,3280,0,2455,1999,976,1105
person:468,1294,375,824,1228,475,1245,2057,1493,1717,2455,0,795,1647,1455
bird:474,1450,899,1079,1529,1036,1345,2118,1786,1421,1999,795,0,1465,895
bird:482,648,1996,924,2826,2116,571,775,3096,2882,976,1647,1465,0,826
bird:470,1204,1704,1132,2419,1841,1081,1598,2679,2208,1105,1455,895,826,0
